12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;0;;;;;
16ton;16 Ton (Jpn, SegaNet);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
16tongnk;16 Ton (Jpn, Game no Kandume MegaCD Rip);Final Burn Alpha;16ton;1991;Sega;;;;;;0;;;;;
16zhan;16 Zhang Ma Jiang (Chi);Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
1941;1941 - Counter Attack (900227 World);Final Burn Alpha;;1990;Capcom;;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);Arcade;;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);MAME (Advance);;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);MAME (Libretro);;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);MAME (Mame4all);;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941j;1941 - Counter Attack (Japan);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);MAME (Libretro);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);MAME (Mame4all);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 - Counter Attack (World);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1941r1;1941 Counter Attack (World);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 Counter Attack (World);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 Counter Attack (World);MAME (Libretro);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 Counter Attack (World);MAME (Mame4all);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 - Counter Attack (900227 USA);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);MAME (Libretro);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);MAME (Mame4all);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;;;;;;0;;;;;
19xx;19XX The War Against Destiny (USA 951207);Arcade;;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xx;19XX The War Against Destiny (USA 951207);MAME (Advance);;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xx;19XX The War Against Destiny (USA 951207);MAME (Libretro);;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xx;19XX The War Against Destiny (USA 951207);MAME (Mame4all);;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxa;19XX The War Against Destiny (Asia 960104);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
