#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - A View to a Kill;007 - A View to a Kill;Amstrad CPC;;;;;;;;;;;;;;
007 - The Living Daylights;007 - The Living Daylights;Amstrad CPC;;1987;Domark;;;;;;;;;;;
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Amstrad CPC;;1987;Domark;;;;;;;;;;;
007 - The Spy Who Loved Me;007 - The Spy Who Loved Me;Amstrad CPC;;;Domark;;;;;;;;;;;
1001 BC;1001 BC;Amstrad CPC;;;;;;;;;;;;;;
10th Frame;10th Frame;Amstrad CPC;;1986;U.S. Gold;Sports;4+;;;;;;;;;
10th Frame (Europe);10th Frame (Europe);Amstrad CPC;;1986;U.S. Gold;Sports;4+;;;;;;;;;
11 A Side Soccer (Europe);11 A Side Soccer (Europe);Amstrad CPC;;;;;;;;;;;;;;
180 (Europe);180 (Europe);Amstrad CPC;;;;;;;;;;;;;;
1815;1815;Amstrad CPC;;1985;Cobra Soft;Strategy;1;;;;;;;;;
1942;1942;Amstrad CPC;;1986;;Shooter;2;;;;;;;;;
1942 (Europe);1942 (Europe);Amstrad CPC;;1986;;Shooter;2;;;;;;;;;
1943 - The Battle of Midway;1943 - The Battle of Midway;Amstrad CPC;;;Go!;Action / Shooter;;;;;;;;;;
1943 - The Battle of Midway (Europe);1943 - The Battle of Midway (Europe);Amstrad CPC;;;Go!;Action / Shooter;;;;;;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Amstrad CPC;;;;;;;;;;;;;;
2 Player Soccer Squad (Europe);2 Player Soccer Squad (Europe);Amstrad CPC;;;;;;;;;;;;;;
2 Player Super League (Europe);2 Player Super League (Europe);Amstrad CPC;;1989;Cult Games;Sports / Strategy;2;;;;;;;;;
20000 Avant J.C. (France);20000 Avant J.C. (France);Amstrad CPC;;;;;;;;;;;;;;
2088;2088;Amstrad CPC;;1988;Zeppelin Games Limited;Action / Shooter;2;;;;;;;;;
2088 (Europe);2088 (Europe);Amstrad CPC;;1988;Zeppelin Games Limited;Action / Shooter;2;;;;;;;;;
2112 AD;2112 AD;Amstrad CPC;;1986;Design Design;Action;;;;;;;;;;
2112 AD (Europe);2112 AD (Europe);Amstrad CPC;;1986;Design Design;Action;;;;;;;;;;
3D Boxing;3D Boxing;Amstrad CPC;;1985;Amsoft;Sports;;;;;;;;;;
3D Boxing (Europe);3D Boxing (Europe);Amstrad CPC;;1985;Amsoft;Sports;;;;;;;;;;
3D Fight;3D Fight;Amstrad CPC;;;;Shooter;;;;;;;;;;
3D Fight (France);3D Fight (France);Amstrad CPC;;;;Shooter;;;;;;;;;;
3D Grand Prix (Europe);3D Grand Prix (Europe);Amstrad CPC;;1983;Dk'tronics;Racing;;;;;;;;;;
3D Invaders (Europe);3D Invaders (Europe);Amstrad CPC;;;;Shooter;;;;;;;;;;
3D Kit Game, The (Europe);3D Kit Game, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Light Cycle (Europe);3D Light Cycle (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Monster Chase;3D Monster Chase;Amstrad CPC;;;;;;;;;;;;;;
3D Monster Chase (Europe);3D Monster Chase (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Pool;3D Pool;Amstrad CPC;;;;;;;;;;;;;;
3D Quasars (Europe);3D Quasars (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Snakes (France) (Unl);3D Snakes (France) (Unl);Amstrad CPC;;;;;;;;;;;;;;
3D Snakes II (France) (Unl);3D Snakes II (France) (Unl);Amstrad CPC;;;;;;;;;;;;;;
3D Snooker (Europe);3D Snooker (Europe);Amstrad CPC;;;;Sports;;;;;;;;;;
3D Starfighter;3D Starfighter;Amstrad CPC;;;;;;;;;;;;;;
3D Starfighter (Europe);3D Starfighter (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Starstrike;3D Starstrike;Amstrad CPC;;;;Shooter;;;;;;;;;;
3D Starstrike (Europe);3D Starstrike (Europe);Amstrad CPC;;;;Shooter;;;;;;;;;;
3D Stunt Rider;3D Stunt Rider;Amstrad CPC;;;;;;;;;;;;;;
3D Stunt Rider (Europe);3D Stunt Rider (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Time Trek (Europe);3D Time Trek (Europe);Amstrad CPC;;;;;;;;;;;;;;
3D Voice Chess (Europe);3D Voice Chess (Europe);Amstrad CPC;;;;Strategy;;;;;;;;;;
3D-Sub (France);3D-Sub (France);Amstrad CPC;;;;;;;;;;;;;;
3DC (Europe);3DC (Europe);Amstrad CPC;;;;;;;;;;;;;;
4 Soccer Simulators (Europe);4 Soccer Simulators (Europe);Amstrad CPC;;;;;;;;;;;;;;
4x4 Off-Road Racing (Europe);4x4 Off-Road Racing (Europe);Amstrad CPC;;;;;;;;;;;;;;
500cc Grand Prix 2;500cc Grand Prix 2;Amstrad CPC;;;;;;;;;;;;;;
5th Axis, The (Europe);5th Axis, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
5th Quadrant, The (Europe);5th Quadrant, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
7 Card Stud (Europe);7 Card Stud (Europe);Amstrad CPC;;;;;;;;;;;;;;
720 Degrees (Europe);720 Degrees (Europe);Amstrad CPC;;;;;;;;;;;;;;
750cc Grand Prix;750cc Grand Prix;Amstrad CPC;;;;Racing / Sports;;;;;;;;;;
750cc Grand Prix (Europe);750cc Grand Prix (Europe);Amstrad CPC;;;;Racing / Sports;;;;;;;;;;
A Midsummer Day's Dream (Europe);A Midsummer Day's Dream (Europe);Amstrad CPC;;;;;;;;;;;;;;
A-Team, The (Spain);A-Team, The (Spain);Amstrad CPC;;;;;;;;;;;;;;
ACE - Air Combat Emulator (Europe);ACE - Air Combat Emulator (Europe);Amstrad CPC;;;;;;;;;;;;;;
ACE 2 - The Ultimate Head to Head Conflict (Europe);ACE 2 - The Ultimate Head to Head Conflict (Europe);Amstrad CPC;;;;;;;;;;;;;;
ATV Simulator (Europe);ATV Simulator (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aaargh! (Spain);Aaargh! (Spain);Amstrad CPC;;;;;;;;;;;;;;
Abadia del Crimen, La;Abadia del Crimen, La;Amstrad CPC;;;;;;;;;;;;;;
Abadia del Crimen, La (Spain);Abadia del Crimen, La (Spain);Amstrad CPC;;;;;;;;;;;;;;
Abracadabra;Abracadabra;Amstrad CPC;;;Proein S.A.;Adventure;;;;;;;;;;
Abracadabra et les Voleurs de Temps;Abracadabra et les Voleurs de Temps;Amstrad CPC;;;;;;;;;;;;;;
Absurdity (France);Absurdity (France);Amstrad CPC;;;;;;;;;;;;;;
Abu Simbel Profanation;Abu Simbel Profanation;Amstrad CPC;;1986;;Platform;1;;;;;;;;;
Abu Simbel Profanation (Spain);Abu Simbel Profanation (Spain);Amstrad CPC;;1986;;Platform;1;;;;;;;;;
Academy - Tau Ceti II (Europe);Academy - Tau Ceti II (Europe);Amstrad CPC;;;;;;;;;;;;;;
Ace of Aces;Ace of Aces;Amstrad CPC;;;;Flight Simulator / Shooter;;;;;;;;;;
Ace of Aces (Europe);Ace of Aces (Europe);Amstrad CPC;;;;Flight Simulator / Shooter;;;;;;;;;;
Acro Jet (Europe);Acro Jet (Europe);Amstrad CPC;;;;;;;;;;;;;;
Action Fighter (Europe);Action Fighter (Europe);Amstrad CPC;;;;Racing;;;;;;;;;;
Action Force (Europe);Action Force (Europe);Amstrad CPC;;;;;;;;;;;;;;
Action Service (Europe);Action Service (Europe);Amstrad CPC;;;;;;;;;;;;;;
Activator;Activator;Amstrad CPC;;;;;;;;;;;;;;
