AFL Boulder Dash (USA) (Unl);AFL Boulder Dash (USA) (Unl);Commodore 64;;1987;Peter Liepa & Alpha Flight;Action;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Arcade;;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Arcade;;1990;Data East Corporation (licensed from First Star);Maze / Digging;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Final Burn Alpha;;1990;Data East Corporation (licensed from First Star);;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);Final Burn Alpha;;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Advance);;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Advance);;1990;Data East Corporation (licensed from First Star);Maze / Digging;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Libretro);;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Libretro);;1990;Data East Corporation (licensed from First Star);Maze / Digging;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Mame4all);;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);MAME (Mame4all);;1990;Data East Corporation (licensed from First Star);Maze / Digging;;;;;0;;;;;
bouldashj;Boulder Dash / Boulder Dash Part 2 (Japan);Arcade;bouldash;1990;Data East Corporation (licensed from First Star);Maze;;;;;0;;;;;
bouldashj;Boulder Dash / Boulder Dash Part 2 (Japan);Arcade;bouldash;1990;Data East Corporation (licensed from First Star);Maze / Digging;;;;;0;;;;;
bouldashj;Boulder Dash / Boulder Dash Part 2 (Japan);Final Burn Alpha;bouldash;1990;Data East Corporation (licensed from First Star);;;;;;0;;;;;
