10-Pin Bowling (USA);10-Pin Bowling (USA);Nintendo Game Boy Color;;1999;Majesco Games;Sports/Bowling;;;;;0;;;;;
10 Pin (Europe);10 Pin (Europe);Commodore 64;;1986;Tri Micro;Sports/Bowling;;;;;0;;;;;
10th Frame (Europe);10th Frame (Europe);Amstrad CPC;;1986;U.S. Gold;Sports/Bowling;;;;;0;;;;;
10th Frame (Europe);10th Frame (Europe);Sinclair ZX Spectrum;;1986;US Gold;Sports/Bowling;;;;;0;;;;;
10th Frame (USA);10th Frame (USA);Atari ST;;1987;Access;Sports/Bowling;;;;;0;;;;;
10th Frame (USA);10th Frame (USA);Commodore 64;;1986;Access Software;Sports/Bowling;;;;;0;;;;;
5-Pin Bowling (Europe);5-Pin Bowling (Europe);Commodore 64;;1984;CDS (Commercial Data Systems Ltd.);Sports/Bowling;;;;;0;;;;;
alleymas;Alley Master;Arcade;;1986;Cinematronics;Sports / Bowling;;;;;0;;;;;
alleymas;Alley Master;Final Burn Alpha;;1986;Cinematronics;Sports / Bowling;;;;;0;;;;;
alleymas;Alley Master;MAME (Advance);;1986;Cinematronics;Sports / Bowling;;;;;0;;;;;
alleymas;Alley Master;MAME (Libretro);;1986;Cinematronics;Sports / Bowling;;;;;0;;;;;
alleymas;Alley Master;MAME (Mame4all);;1986;Cinematronics;Sports / Bowling;;;;;0;;;;;
Alley Oops (USA);Alley Oops (USA);Commodore 64;;1983;Artworx Software Company;Sports/Bowling;;;;;0;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;1998;ASC Games;Sports/Bowling;;;;;0;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PSP;;1998;ASC Games;Sports/Bowling;;;;;0;;;;;
ar_bowl;SportTime Bowling (Arcadia, V 2.1);Arcade;;1988;Arcadia Systems;Sports / Bowling;;;;;0;;;;;
ar_bowl;SportTime Bowling (Arcadia, V 2.1);Final Burn Alpha;;1988;Arcadia Systems;Sports / Bowling;;;;;0;;;;;
ar_bowl;SportTime Bowling (Arcadia, V 2.1);MAME (Advance);;1988;Arcadia Systems;Sports / Bowling;;;;;0;;;;;
ar_bowl;SportTime Bowling (Arcadia, V 2.1);MAME (Libretro);;1988;Arcadia Systems;Sports / Bowling;;;;;0;;;;;
ar_bowl;SportTime Bowling (Arcadia, V 2.1);MAME (Mame4all);;1988;Arcadia Systems;Sports / Bowling;;;;;0;;;;;
Arcade Air Hockey & Bowling (USA);Arcade Air Hockey and Bowling;Sony PSP Minis;;2010;Icon Games;Sports;;;;;0;;;;;
Big Challenge! Go! Go! Bowling (Japan);Big Challenge! Go! Go! Bowling (Japan);Nintendo Famicom Disk System;;1989;Jaleco;Sports/Bowling;;;;;0;;;;;
Big Strike Bowling (USA);Big Strike Bowling (USA);Sony PlayStation;;2003;Gotham Games;Sports/Bowling;;;;;0;;;;;
Big Strike Bowling (USA);Big Strike Bowling (USA);Sony PSP;;2003;Gotham Games;Sports/Bowling;;;;;0;;;;;
bmcbowl;Konkyuu no Hoshi;Arcade;;1994;BMC;Sports / Bowling;;;;;0;;;;;
bmcbowl;Konkyuu no Hoshi;Final Burn Alpha;;1994;BMC;Sports / Bowling;;;;;0;;;;;
bmcbowl;Konkyuu no Hoshi;MAME (Advance);;1994;BMC;Sports / Bowling;;;;;0;;;;;
bmcbowl;Konkyuu no Hoshi;MAME (Libretro);;1994;BMC;Sports / Bowling;;;;;0;;;;;
bmcbowl;Konkyuu no Hoshi;MAME (Mame4all);;1994;BMC;Sports / Bowling;;;;;0;;;;;
bowl3d;3-D Bowling;Arcade;;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
bowl3d;3-D Bowling;Final Burn Alpha;;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
bowl3d;3-D Bowling;MAME (Advance);;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
bowl3d;3-D Bowling;MAME (Libretro);;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
bowl3d;3-D Bowling;MAME (Mame4all);;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;Arcade;;1978;Midway;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;Arcade;;1978;Midway;Sports/Bowling;;;;;0;;;;;
bowler;Bowling Alley;Final Burn Alpha;;1978;Midway;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;Final Burn Alpha;;1978;Midway;Sports/Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Advance);;1978;Midway;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Advance);;1978;Midway;Sports/Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Libretro);;1978;Midway;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Libretro);;1978;Midway;Sports/Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Mame4all);;1978;Midway;Sports / Bowling;;;;;0;;;;;
bowler;Bowling Alley;MAME (Mame4all);;1978;Midway;Sports/Bowling;;;;;0;;;;;
Bowling 3D (USA);Bowling 3D;Sony PSP Minis;;2009;MystoneGame Inc.;Sports;;;;;0;;;;;
Bowling + Basketball (USA, Europe);Bowling + Basketball (USA, Europe);Magnavox Odyssey 2;;1978;Magnavox;Sports;;;;;0;;;;;
Bowling (Commodore) (USA);Bowling (Commodore) (USA);Commodore 64;;1983;Commodore;Sports/Bowling;;;;;0;;;;;
Bowling (High Tech Software) (Europe);Bowling (High Tech Software) (Europe);Commodore 64;;1983;High Tech Software;Sports/Bowling;;;;;0;;;;;
Bowling Night (Australia);Bowling Night (Australia);Commodore 64;;1985;OziSoft;Sports/Bowling;;;;;0;;;;;
Bowling (USA);Bowling (USA);Atari 2600;;1978;Atari;Sports/Bowling;;;;;0;;;;;
Bowling (USA);Bowling (USA);Commodore 64;;1982;Avalon Hill Microcomputer Games, Inc.;Sports/Bowling;;;;;0;;;;;
Bowling (USA);Bowling (USA);Sony PlayStation;;2001;A1 Games;Sports/Bowling;;;;;0;;;;;
Bowling (USA);Bowling (USA);Sony PSP;;2001;A1 Games;Sports/Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;Arcade;;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;Final Burn Alpha;;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Advance);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Libretro);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
bowlrama;Bowl-O-Rama;MAME (Mame4all);;1991;P&P Marketing;Sports / Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling 2 (USA);Brunswick Circuit Pro Bowling 2 (USA);Sony PlayStation;;2000;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling 2 (USA);Brunswick Circuit Pro Bowling 2 (USA);Sony PSP;;2000;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Sony PlayStation;;1998;THQ;Sports/Bowling;;;;;0;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Sony PSP;;1998;THQ;Sports/Bowling;;;;;0;;;;;
