10... Knockout! (USA);10... Knockout! (USA);Commodore 64;;1985;Amersoft;Sports/Boxing;;;;;0;;;;;
3D Boxing (Europe);3D Boxing (Europe);Amstrad CPC;;1985;Amsoft;Sports/Boxing;;;;;0;;;;;
Ashita no Joe (Japan) (Translated En);Ashita no Joe (Japan) (Translated En);Nintendo Super Famicom;;1992;Wave;Sports/Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);Arcade;scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);Arcade;scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);Final Burn Alpha;scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Advance);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Advance);scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Libretro);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Libretro);scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Mame4all);scessjoe;1990;Taito Corporation / Wave;Sports / Boxing;;;;;0;;;;;
ashnojoe;Ashita no Joe (Japan);MAME (Mame4all);scessjoe;1990;Taito Corporation / Wave;Sports/Boxing;;;;;0;;;;;
AVGN K.O. Boxing (USA) (Unl);AVGN K.O. Boxing (USA) (Unl);Atari 2600;;2009;Devin Cook - Cinemassacre.com;Sports/Boxing;;;;;0;;;;;
Bangkok Knights (Europe);Bangkok Knights (Europe);Atari ST;;1989;System 3;Sports/Boxing;;;;;0;;;;;
Bangkok Knights (Europe);Bangkok Knights (Europe);Commodore 64;;1987;System 3;Sports/Boxing;;;;;0;;;;;
Barry Mc Guigan's Boxing (Europe);Barry Mc Guigan's Boxing (Europe);Amstrad CPC;;1985;Activision;Sports/Boxing;;;;;0;;;;;
Barry McGuigan World Championship Boxing (Europe);Barry McGuigan World Championship Boxing (Europe);Sinclair ZX Spectrum;;1985;Gamestar;Sports/Boxing;;;;;0;;;;;
bbbxing;Best Bout Boxing;Arcade;;1994;Jaleco;Sports / Boxing;;;;;0;;;;;
bbbxing;Best Bout Boxing;Final Burn Alpha;;1994;Jaleco;Sports / Boxing;;;;;0;;;;;
bbbxing;Best Bout Boxing;MAME (Advance);;1994;Jaleco;Sports / Boxing;;;;;0;;;;;
bbbxing;Best Bout Boxing;MAME (Libretro);;1994;Jaleco;Sports / Boxing;;;;;0;;;;;
bbbxing;Best Bout Boxing;MAME (Mame4all);;1994;Jaleco;Sports / Boxing;;;;;0;;;;;
Best of the Best - Championship Panza Gold Edition Karate (Europe);Best of the Best - Championship Panza Gold Edition Karate (Europe);Amstrad CPC;;1992;Loriciels;Sports/Boxing;;;;;0;;;;;
Big KO, The (Europe);Big KO, The (Europe);Commodore 64;;1987;Tynesoft;Sports/Boxing;;;;;0;;;;;
boxer;Boxer (prototype);Arcade;;1978;Atari;Sports / Boxing;;;;;0;;;;;
boxer;Boxer (prototype);Arcade;;1978;Atari;Sports/Boxing;;;;;0;;;;;
boxer;Boxer (prototype);Final Burn Alpha;;1978;Atari;Sports/Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Advance);;1978;Atari;Sports / Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Advance);;1978;Atari;Sports/Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Libretro);;1978;Atari;Sports / Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Libretro);;1978;Atari;Sports/Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Mame4all);;1978;Atari;Sports / Boxing;;;;;0;;;;;
boxer;Boxer (prototype);MAME (Mame4all);;1978;Atari;Sports/Boxing;;;;;0;;;;;
Boxer, The (Europe);Boxer, The (Europe);Amstrad CPC;;1990;Cult;Sports/Boxing;;;;;0;;;;;
Boxer, The (Europe);Boxer, The (Europe);Commodore 64;;1990;Cult Games;Sports/Boxing;;;;;0;;;;;
Boxer, The (Europe);Boxer, The (Europe);Sinclair ZX Spectrum;;1990;Cult Games;Sports/Boxing;;;;;0;;;;;
Boxing Champion (Italy);Boxing Champion (Italy);Commodore 64;;1992;Simulmondo;Sports/Boxing;;;;;0;;;;;
Boxing Coach (Europe);Boxing Coach (Europe);Sinclair ZX Spectrum;;1989;Alfo Software;Sports/Boxing;;;;;0;;;;;
Boxing (Europe);Boxing (Europe);Sinclair ZX Spectrum;;1984;Silicon Joy;Sports/Boxing;;;;;0;;;;;
