#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
2010 - The Graphic Action Game (USA, Europe);2010 - The Graphic Action Game (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Alcazar - The Forgotten Fortress (USA);Alcazar - The Forgotten Fortress (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Alphabet Zoo (USA);Alphabet Zoo (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Amazing Bumpman (USA);Amazing Bumpman (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Antarctic Adventure (USA, Europe);Antarctic Adventure (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Aquattack (USA);Aquattack (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Artillery Duel (USA);Artillery Duel (USA);ColecoVision;;;;;;;;;;;;;;;;;;
BC's Quest for Tires (USA, Europe);BC's Quest for Tires (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
BC's Quest for Tires II - Grog's Revenge (USA, Europe);BC's Quest for Tires II - Grog's Revenge (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Beamrider (USA);Beamrider (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Blockade Runner (USA);Blockade Runner (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Boulder Dash (USA);Boulder Dash (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Brain Strainers (USA, Europe);Brain Strainers (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Buck Rogers - Planet Of Zoom (USA, Europe);Buck Rogers - Planet Of Zoom (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Bump 'N' Jump (USA, Europe);Bump 'N' Jump (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
BurgerTime (USA, Europe);BurgerTime (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Cabbage Patch Kids - Adventures in the Park (USA, Europe);Cabbage Patch Kids - Adventures in the Park (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Cabbage Patch Kids Picture Show (USA, Europe);Cabbage Patch Kids Picture Show (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Campaign '84 (USA);Campaign '84 (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Carnival (USA, Europe);Carnival (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Centipede (USA);Centipede (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Choplifter (USA, Europe);Choplifter (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Chuck Norris - Super Kicks (USA);Chuck Norris - Super Kicks (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Congo Bongo (USA, Europe);Congo Bongo (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Cosmic Avenger (USA, Europe);Cosmic Avenger (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Cosmic Crisis (USA);Cosmic Crisis (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Dam Busters, The (USA, Europe);Dam Busters, The (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Dance Fantasy (USA);Dance Fantasy (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Decathlon (USA);Decathlon (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Defender (USA);Defender (USA);ColecoVision;;;;;;;;;;;;;;;;;;
Destructor (USA, Europe);Destructor (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Donkey Kong (USA, Europe);Donkey Kong (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
Donkey Kong Jr (USA, Europe);Donkey Kong Jr (USA, Europe);ColecoVision;;;;;;;;;;;;;;;;;;
