#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
1941;1941;FBA;;;;;;;;;;;;;
1942;1942;FBA;;;;;;;;;;;;;
1943;1943;FBA;;;;;;;;;;;;;
1943kai;1943kai;FBA;;;;;;;;;;;;;
1944;1944;FBA;;;;;;;;;;;;;
1945kiii;1945kiii;FBA;;;;;;;;;;;;;
19xx;19xx;FBA;;;;;;;;;;;;;
2020bb;2020bb;FBA;;;;;;;;;;;;;
3countb;3countb;FBA;;;;;;;;;;;;;
3in1semi;3in1semi;FBA;;;;;;;;;;;;;
3wonders;3wonders;FBA;;;;;;;;;;;;;
4dwarrio;4dwarrio;FBA;;;;;;;;;;;;;
4enraya;4enraya;FBA;;;;;;;;;;;;;
4in1;4in1;FBA;;;;;;;;;;;;;
4in1boot;4in1boot;FBA;;;;;;;;;;;;;
4play;4play;FBA;;;;;;;;;;;;;
600;600;FBA;;;;;;;;;;;;;
64street;64street;FBA;;;;;;;;;;;;;
7ordi;7ordi;FBA;;;;;;;;;;;;;
88games;88games;FBA;;;;;;;;;;;;;
8ballact;8ballact;FBA;;;;;;;;;;;;;
8bpm;8bpm;FBA;;;;;;;;;;;;;
99lstwar;99lstwar;FBA;;;;;;;;;;;;;
abcop;abcop;FBA;;;;;;;;;;;;;
abscam;abscam;FBA;;;;;;;;;;;;;
aburner;aburner;FBA;;;;;;;;;;;;;
aburner2;aburner2;FBA;;;;;;;;;;;;;
aceattac;aceattac;FBA;;;;;;;;;;;;;
acrobatm;acrobatm;FBA;;;;;;;;;;;;;
actfancr;actfancr;FBA;;;;;;;;;;;;;
ad2083;ad2083;FBA;;;;;;;;;;;;;
aerofgt;aerofgt;FBA;;;;;;;;;;;;;
afighter;afighter;FBA;;;;;;;;;;;;;
agallet;agallet;FBA;;;;;;;;;;;;;
agress;agress;FBA;;;;;;;;;;;;;
airass;airass;FBA;;;;;;;;;;;;;
airattck;airattck;FBA;;;;;;;;;;;;;
airduel;airduel;FBA;;;;;;;;;;;;;
airwolf;airwolf;FBA;;;;;;;;;;;;;
ajax;ajax;FBA;;;;;;;;;;;;;
akumajou;akumajou;FBA;;;;;;;;;;;;;
alcon;alcon;FBA;;;;;;;;;;;;;
alexkidd;alexkidd;FBA;;;;;;;;;;;;;
alibaba;alibaba;FBA;;;;;;;;;;;;;
aliencha;aliencha;FBA;;;;;;;;;;;;;
aliens;aliens;FBA;;;;;;;;;;;;;
aliensec;aliensec;FBA;;;;;;;;;;;;;
aliensyn;aliensyn;FBA;;;;;;;;;;;;;
aligator;aligator;FBA;;;;;;;;;;;;;
alpham2;alpham2;FBA;;;;;;;;;;;;;
alphamis;alphamis;FBA;;;;;;;;;;;;;
alphaxz;alphaxz;FBA;;;;;;;;;;;;;
altbeast;altbeast;FBA;;;;;;;;;;;;;
amatelas;amatelas;FBA;;;;;;;;;;;;;
amazon;amazon;FBA;;;;;;;;;;;;;
ambush;ambush;FBA;;;;;;;;;;;;;
amidar;amidar;FBA;;;;;;;;;;;;;
androdun;androdun;FBA;;;;;;;;;;;;;
angelkds;angelkds;FBA;;;;;;;;;;;;;
anteater;anteater;FBA;;;;;;;;;;;;;
aodk;aodk;FBA;;;;;;;;;;;;;
aof;aof;FBA;;;;;;;;;;;;;
aof2;aof2;FBA;;;;;;;;;;;;;
aof3;aof3;FBA;;;;;;;;;;;;;
appoooh;appoooh;FBA;;;;;;;;;;;;;
aquajack;aquajack;FBA;;;;;;;;;;;;;
aquarium;aquarium;FBA;;;;;;;;;;;;;
arabian;arabian;FBA;;;;;;;;;;;;;
arbalest;arbalest;FBA;;;;;;;;;;;;;
arcadian;arcadian;FBA;;;;;;;;;;;;;
arian;arian;FBA;;;;;;;;;;;;;
arkanoid;arknoid;FBA;;;;;;;;;;;;
arkarea;arkarea;FBA;;;;;;;;;;;;;
arkatour;arkatour;FBA;;;;;;;;;;;;;
arkblock;arkblock;FBA;;;;;;;;;;;;;
armedf;armedf;FBA;;;;;;;;;;;;;
armorcar;armorcar;FBA;;;;;;;;;;;;;
armwar;armwar;FBA;;;;;;;;;;;;;
armwrest;armwrest;FBA;;;;;;;;;;;;;
ashura;ashura;FBA;;;;;;;;;;;;;
aso;aso;FBA;;;;;;;;;;;;;
asterix;asterix;FBA;;;;;;;;;;;;;
astorm;astorm;FBA;;;;;;;;;;;;;
astyanax;astyanax;FBA;;;;;;;;;;;;;
asuka;asuka;FBA;;;;;;;;;;;;;
asurabld;asurabld;FBA;;;;;;;;;;;;;
asurabus;asurabus;FBA;;;;;;;;;;;;;
atetris;atetris;FBA;;;;;;;;;;;;;
athena;athena;FBA;;;;;;;;;;;;;
atlantis;atlantis;FBA;;;;;;;;;;;;;
atomboy;atomboy;FBA;;;;;;;;;;;;;
atomicp;atomicp;FBA;;;;;;;;;;;;;
aurail;aurail;FBA;;;;;;;;;;;;;
avengers;avengers;FBA;;;;;;;;;;;;;
avsp;avsp;FBA;;;;;;;;;;;;;
avspirit;avspirit;FBA;;;;;;;;;;;;;
aztarac;aztarac;FBA;;;;;;;;;;;;;
azurian;azurian;FBA;;;;;;;;;;;;;
backfire;backfire;FBA;;;;;;;;;;;;;
backfirt;backfirt;FBA;;;;;;;;;;;;;
baddudes;baddudes;FBA;;;;;;;;;;;;;
bagman;bagman;FBA;;;;;;;;;;;;;
bakatono;bakatono;FBA;;;;;;;;;;;;;
ballbros;ballbros;FBA;;;;;;;;;;;;;
bangbead;bangbead;FBA;;;;;;;;;;;;;
bankp;bankp;FBA;;;;;;;;;;;;;
baraduke;baraduke;FBA;;;;;;;;;;;;;
batcir;batcir;FBA;;;;;;;;;;;;;
batrider;batrider;FBA;;;;;;;;;;;;;
batsugun;batsugun;FBA;;;;;;;;;;;;;
battlane;battlane;FBA;;;;;;;;;;;;;
battlnts;battlnts;FBA;;;;;;;;;;;;;
battroad;battroad;FBA;;;;;;;;;;;;;
bayroute;bayroute;FBA;;;;;;;;;;;;;
bbakraid;bbakraid;FBA;;;;;;;;;;;;;
bballs;bballs;FBA;;;;;;;;;;;;;
bbmanw;bbmanw;FBA;;;;;;;;;;;;;
bbusters;bbusters;FBA;;;;;;;;;;;;;
bchopper;bchopper;FBA;;;;;;;;;;;;;
bcruzm12;bcruzm12;FBA;;;;;;;;;;;;;
bcstry;bcstry;FBA;;;;;;;;;;;;;
berlwall;berlwall;FBA;;;;;;;;;;;;;
bermudat;bermudat;FBA;;;;;;;;;;;;;
bestbest;bestbest;FBA;;;;;;;;;;;;;
bestri;bestri;FBA;;;;;;;;;;;;;
bgaregga;bgaregga;FBA;;;;;;;;;;;;;
bigbucks;bigbucks;FBA;;;;;;;;;;;;;
bigkarnk;bigkarnk;FBA;;;;;;;;;;;;;
bigstrik;bigstrik;FBA;;;;;;;;;;;;;
bigtwin;bigtwin;FBA;;;;;;;;;;;;;
bikkuric;bikkuric;FBA;;;;;;;;;;;;;
biomtoy;biomtoy;FBA;;;;;;;;;;;;;
bionicc;bionicc;FBA;;;;;;;;;;;;;
bioship;bioship;FBA;;;;;;;;;;;;;
birdiy;birdiy;FBA;;;;;;;;;;;;;
birdtry;birdtry;FBA;;;;;;;;;;;;;
bishi;bishi;FBA;;;;;;;;;;;;;
bjourney;bjourney;FBA;;;;;;;;;;;;;
bjtwin;bjtwin;FBA;;;;;;;;;;;;;
bladestl;bladestl;FBA;;;;;;;;;;;;;
blandia;blandia;FBA;;;;;;;;;;;;;
blazeon;blazeon;FBA;;;;;;;;;;;;;
blazstar;blazstar;FBA;;;;;;;;;;;;;
blkdrgon;blkdrgon;FBA;;;;;;;;;;;;;
blkheart;blkheart;FBA;;;;;;;;;;;;;
blkhole;blkhole;FBA;;;;;;;;;;;;;
blkpnthr;blkpnthr;FBA;;;;;;;;;;;;;
blktiger;blktiger;FBA;;;;;;;;;;;;;
blmbycar;blmbycar;FBA;;;;;;;;;;;;;
block;block;FBA;;;;;;;;;;;;;
blockcar;blockcar;FBA;;;;;;;;;;;;;
blockgal;blockgal;FBA;;;;;;;;;;;;;
blockhl;blockhl;FBA;;;;;;;;;;;;;
blockout;blockout;FBA;;;;;;;;;;;;;
bloodbro;bloodbro;FBA;;;;;;;;;;;;;
bloodwar;bloodwar;FBA;;;;;;;;;;;;;
bloxeed;bloxeed;FBA;;;;;;;;;;;;;
blswhstl;blswhstl;FBA;;;;;;;;;;;;;
bluehawk;bluehawk;FBA;;;;;;;;;;;;;
blueprnt;blueprnt;FBA;;;;;;;;;;;;;
bmaster;bmaster;FBA;;;;;;;;;;;;;
bodyslam;bodyslam;FBA;;;;;;;;;;;;;
bombbee;bombbee;FBA;;;;;;;;;;;;;
