2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Fighter/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Sega;Fighter/Pinball;;;;;0;;;;;
2K-Fighter (Germany);2K-Fighter (Germany);Commodore 64;;1992;Markt & Technik/64'er;Shoot-'Em-Up;;;;;0;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Fighter;;;;;0;;;;;
3D Starfighter (Europe);3D Starfighter (Europe);Amstrad CPC;;1988;Codemasters;Shoot-'Em-Up;;;;;0;;;;;
3D Starfighter (Europe);3D Starfighter (Europe);Sinclair ZX Spectrum;;1988;Codemasters;Shooter;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Advance);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Libretro);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Mame4all);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);Arcade;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Advance);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Libretro);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Mame4all);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
ATF - Advanced Tactical Fighter (Europe);ATF - Advanced Tactical Fighter (Europe);Commodore 64;;1988;Digital Integration;Flying;;;;;0;;;;;
ATF - Advanced Tactical Fighter (Europe);ATF - Advanced Tactical Fighter (Europe);Sinclair ZX Spectrum;;1988;Digital Integration;Simulation;;;;;0;;;;;
ATF II - Advanced Tactical Fighter II (Europe);ATF II - Advanced Tactical Fighter II (Europe);Atari ST;;1990;Digital Integration;Shooter;;;;;0;;;;;
ATF2_v1.1a_2396;ATF II - Advanced Tactical Fighter II;Commodore Amiga;;;;;;;;;0;;;;;
Action Fighter (Europe);Action Fighter (Europe);Amstrad CPC;;1989;Firebird Software;Shoot-'Em-Up;;;;;0;;;;;
