Arcade Classic No. 3 - Galaga & Galaxian (USA);Arcade Classic No. 3 - Galaga & Galaxian (USA);Nintendo Game Boy;;1995;Nintendo;Shoot-'Em-Up;;;;;0;;;;;
astrians;Astrians (clone of Swarm);Arcade;galaxian;1980;bootleg (BGV Ltd.);Shooter / Gallery;;;;;0;;;;;
astrians;Astrians (clone of Swarm) [Bootleg];Final Burn Alpha;galaxian;1979;BGV Ltd;;;;;;0;;;;;
astrians;Astrians (clone of Swarm);MAME (Advance);galaxian;1980;bootleg (BGV Ltd.);Shooter / Gallery;;;;;0;;;;;
astrians;Astrians (clone of Swarm);MAME (Libretro);galaxian;1980;bootleg (BGV Ltd.);Shooter / Gallery;;;;;0;;;;;
astrians;Astrians (clone of Swarm);MAME (Mame4all);galaxian;1980;bootleg (BGV Ltd.);Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiaj hack) [Hack];Final Burn Alpha;galaxian;1979;hack;;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);Arcade;galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Advance);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap4;Galaxian Part 4 (hack);Arcade;galaxian;1979;hack (G.G.I);Shooter / Gallery;;;;;0;;;;;
galap4;Galaxian Part 4 (hack) [Hack];Final Burn Alpha;galaxian;1979;G.G.I;;;;;;0;;;;;
galap4;Galaxian Part 4 (hack);MAME (Advance);galaxian;1979;hack (G.G.I);Shooter / Gallery;;;;;0;;;;;
galap4;Galaxian Part 4 (hack);MAME (Libretro);galaxian;1979;hack (G.G.I);Shooter / Gallery;;;;;0;;;;;
galap4;Galaxian Part 4 (hack);MAME (Mame4all);galaxian;1979;hack (G.G.I);Shooter / Gallery;;;;;0;;;;;
galapx;Galaxian Part X (moonaln hack);Arcade;galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galapx;Galaxian Part X (moonaln hack) [Hack];Final Burn Alpha;galaxian;1979;hack;;;;;;0;;;;;
galapx;Galaxian Part X (moonaln hack);MAME (Advance);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galapx;Galaxian Part X (moonaln hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galapx;Galaxian Part X (moonaln hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galaxbsf2;Galaxian (bootleg, set 3);Arcade;galaxian;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
galaxbsf2;Galaxian (bootleg, set 3);MAME (Advance);galaxian;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
galaxbsf2;Galaxian (bootleg, set 3);MAME (Libretro);galaxian;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
galaxbsf2;Galaxian (bootleg, set 3);MAME (Mame4all);galaxian;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
