2 Games in One! - Gauntlet + Rampart (USA);2 Games in One! - Gauntlet + Rampart (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action;;;;;0;;;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);Arcade;gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);Final Burn Alpha;gaunt2;1986;Atari Games;;;;;;0;;;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);MAME (Advance);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);MAME (Libretro);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p1;Gauntlet II (2 Players, rev 1);MAME (Mame4all);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p;Gauntlet II (2 Players, rev 2);Arcade;gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p;Gauntlet II (2 Players, rev 2);Final Burn Alpha;gaunt2;1986;Atari Games;;;;;;0;;;;;
gaunt22p;Gauntlet II (2 Players, rev 2);MAME (Advance);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p;Gauntlet II (2 Players, rev 2);MAME (Libretro);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22p;Gauntlet II (2 Players, rev 2);MAME (Mame4all);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);Arcade;gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);Final Burn Alpha;gaunt2;1986;Atari Games;;;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);MAME (Advance);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);MAME (Libretro);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt22pg;Gauntlet II (2 Players, German);MAME (Mame4all);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2;Gauntlet II;Arcade;;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2;Gauntlet II;Final Burn Alpha;;1986;Atari Games;;;;;;0;;;;;
gaunt2;Gauntlet II;MAME (Advance);;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2;Gauntlet II;MAME (Libretro);;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2;Gauntlet II;MAME (Mame4all);;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2g;Gauntlet II (German);Arcade;gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2g;Gauntlet II (German);Final Burn Alpha;gaunt2;1986;Atari Games;;;;;;0;;;;;
gaunt2g;Gauntlet II (German);MAME (Advance);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2g;Gauntlet II (German);MAME (Libretro);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gaunt2g;Gauntlet II (German);MAME (Mame4all);gaunt2;1986;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl24;Gauntlet Dark Legacy (version DL 2.4);Arcade;gauntdl;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl24;Gauntlet Dark Legacy (version DL 2.4);MAME (Advance);gauntdl;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl24;Gauntlet Dark Legacy (version DL 2.4);MAME (Libretro);gauntdl;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl24;Gauntlet Dark Legacy (version DL 2.4);MAME (Mame4all);gauntdl;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl;Gauntlet Dark Legacy (version DL 2.52);Arcade;;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl;Gauntlet Dark Legacy (version DL 2.52);MAME (Advance);;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl;Gauntlet Dark Legacy (version DL 2.52);MAME (Libretro);;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
gauntdl;Gauntlet Dark Legacy (version DL 2.52);MAME (Mame4all);;1999;Midway Games;Maze / Shooter Large;;;;;0;;;;;
