3D Golf (Europe);3D Golf (Europe);Commodore 64;;1986;Mastertronic;Sports/Golf;;;;;0;;;;;
Abrasco Golf (Europe);Abrasco Golf (Europe);Commodore 64;;1983;Abrasco Ltd.;Sports/Golf;;;;;0;;;;;
Actua Golf 3 (Europe);Actua Golf 3 (Europe);Sony PlayStation;;1999;Gremlin Interactive;Sports/Golf;;;;;0;;;;;
Actua Golf 3 (Europe);Actua Golf 3 (Europe);Sony PSP;;1999;Gremlin Interactive;Sports/Golf;;;;;0;;;;;
Amsgolf (Europe);Amsgolf (Europe);Amstrad CPC;;1984;Amsoft;Sports/Golf;;;;;0;;;;;
ar_ldrba;Leader Board (Arcadia, set 2, V 2.4);Arcade;ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrba;Leader Board (Arcadia, set 2, V 2.4);Final Burn Alpha;ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrba;Leader Board (Arcadia, set 2, V 2.4);MAME (Advance);ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrba;Leader Board (Arcadia, set 2, V 2.4);MAME (Libretro);ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrba;Leader Board (Arcadia, set 2, V 2.4);MAME (Mame4all);ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrbb;Leader Board (Arcadia, set 3);Arcade;ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrbb;Leader Board (Arcadia, set 3);Final Burn Alpha;ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrbb;Leader Board (Arcadia, set 3);MAME (Advance);ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
ar_ldrbb;Leader Board (Arcadia, set 3);MAME (Libretro);ar_ldrb;1988;Arcadia Systems;Sports / Golf;;;;;0;;;;;
