#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Castlevania 2 - Simon's Quest - Readaction;Castlevania 2 - Simon's Quest - Readaction;Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Legend of Zelda - Outlands;Legend of Zelda - Outlands;Nintendo Entertainment System Hacks;;2001;Romhacking;Action / Adventure / Role-Playing;1;;;;;;;;;
Mario Adventure;Mario Adventure;Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Mega Man - In The Mushroom Kingdom;Mega Man - In The Mushroom Kingdom;Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Metroid Rogue Dawn;Metroid Rogue Dawn;Nintendo Entertainment System Hacks;;2017;Romhacking.net;Action / Adventure;1;;;;;;;;;
Tecmo Super Bowl 2017;Tecmo Super Bowl 2017;Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Another World (Atari ST Reverse Engineering);Another World (Atari ST Reverse Engineering);Nintendo Game Boy Advance Hacks;;2005;Interplay;Action / Adventure / Platform;;;;;;;;;;
Castlevania - Revenge On The Findesiecle (Final);Castlevania - Revenge On The Findesiecle (Final);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Metroid - Other ZM;Metroid - Other ZM;Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Yoshi's Island - Super Mario Advance 3 (Voice Removed);Yoshi's Island - Super Mario Advance 3 (Voice Removed);Nintendo Game Boy Advance Hacks;;;;;;;;;;;;;;
Akumajou Dracula - Shikkokutaru Zensoukyoku (Speed Up);Akumajou Dracula - Shikkokutaru Zensoukyoku (Speed Up);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania - Legends by Silver X (Speed);Castlevania - Legends by Silver X (Speed);Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Castlevania Adventure, The (Graphics Improved);Castlevania Adventure, The (Graphics Improved);Nintendo Game Boy Hacks;;1989;Konami;Action / Adventure;1;;;;;;;;;
Castlevania II - Belmont's Revenge (Speed Up);Castlevania II - Belmont's Revenge (Speed Up);Nintendo Game Boy Hacks;;1991;Konami;Platform;1;;;;;;;;;
Castlevania Legends (Speed Up);Castlevania Legends (Speed Up);Nintendo Game Boy Hacks;;1998;Konami;Action / Adventure;1;;;;;;;;;
Legend of Zelda, The - Link's Awakening (Restored Edition);Legend of Zelda, The - Link's Awakening (Restored Edition);Nintendo Game Boy Hacks;;1993;Nintendo;Adventure;1;;;;;;;;;
Metroid II - Return of Samus (Incandescent Color Theme);Metroid II - Return of Samus (Incandescent Color Theme);Nintendo Game Boy Hacks;;1991;Nintendo;Action / Adventure;1;;;;;;;;;
Metroid II DX by Redrum;Metroid II DX by Redrum;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Blue Upgrade;Pokemon Blue Upgrade;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon II;Pokemon II;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Neo - Adventure;Pokemon Neo - Adventure;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Platinum;Pokemon Platinum;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Red Upgrade;Pokemon Red Upgrade;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Rocket - Jessie Version;Pokemon Rocket - Jessie Version;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Pokemon Z V3.0;Pokemon Z V3.0;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Rockman World 4;Rockman World 4;Nintendo Game Boy Hacks;;1993;Capcom;Action / Adventure;1;;;;;;;;;
Super Mario Land (New GFX Color Edition);Super Mario Land (New GFX Color Edition);Nintendo Game Boy Hacks;;1989;Nintendo;Platform;1;;;;;;;;;
Super Mario Land 2 DX;Super Mario Land 2 DX;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Super Pika Land;Super Pika Land;Nintendo Game Boy Hacks;;;;;;;;;;;;;;
Royal Stone (T);Royal Stone (T);Sega Game Gear Hacks;;;;;;;;;;;;;;
Shining Force III - Final Conflict (T);Shining Force III - Final Conflict (T);Sega Game Gear Hacks;;;;;;;;;;;;;;
Sonic Drift 1;Sonic Drift 1;Sega Game Gear Hacks;;;;;;;;;;;;;;
Sylvan Tale (T);Sylvan Tale (T);Sega Game Gear Hacks;;1995;Sega;Action / Adventure;;;;;;;;;;
Altered Beast (Alternate Style);Altered Beast (Alternate Style);Sega Mega Drive Hacks;;1988;Sega;Action;2;;;;;;;;;
Amy Rose In Sonic The Hedgehog;Amy Rose In Sonic The Hedgehog;Sega Mega Drive Hacks;;2015;;;1;;;;;;;;;
Amy Rose In Sonic The Hedgehog 2;Amy Rose In Sonic The Hedgehog 2;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Amy Rose in Sonic the Hedgehog 3;Amy Rose in Sonic the Hedgehog 3;Sega Mega Drive Hacks;;;;;;;;;;;;;;
BakaSonic;BakaSonic;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon L7 (Smash hits sounds);Battletoads and Double Dragon L7 (Smash hits sounds);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Blue Sphere Plus;Blue Sphere Plus;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Bunnie Rabbot In Sonic The Hedgehog;Bunnie Rabbot In Sonic The Hedgehog;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Fix it Felix Jr;Fix it Felix Jr;Sega Mega Drive Hacks;;2014;Tobi Komi;;1;;;;;;;;;
Kirby in Sonic The Hedgehog;Kirby in Sonic The Hedgehog;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Kirby in Sonic the Hedgehog 2;Kirby in Sonic the Hedgehog 2;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Metal Sonic Hyperdrive;Metal Sonic Hyperdrive;Sega Mega Drive Hacks;;2014;Lone Devil;Platform;1;;;;;;;;;
Mortal Kombat Revelations;Mortal Kombat Revelations;Sega Mega Drive Hacks;;2012;Smoke;Fighting;2;;;;;;;;;
Phantasy Star II (Evil Overload);Phantasy Star II (Evil Overload);Sega Mega Drive Hacks;;1989;Sega;Role-Playing;1;;;;;;;;;
SOR 2 Terminatrix;SOR 2 Terminatrix;Sega Mega Drive Hacks;;;;;;;;;;;;;;
SOR2 shinobi edition;SOR2 shinobi edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
SOR2Remastered;SOR2Remastered;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Shinobi 3 (Enhanced Edition);Shinobi 3 (Enhanced Edition);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic 2 - Battle Race;Sonic 2 - Battle Race;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic 2- Aluminium Edition;Sonic 2- Aluminium Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic Classic Heroes;Sonic Classic Heroes;Sega Mega Drive Hacks;;2013;;Action / Platform;3;;;;;;;;;
Sonic Megamix;Sonic Megamix;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic the Hedgehog 3 - Complete;Sonic the Hedgehog 3 - Complete;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic the Hedgehog Plus;Sonic the Hedgehog Plus;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage - Syndicate Wars (X);Streets of Rage - Syndicate Wars (X);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage 2 - Extreme Punishment Edition;Streets of Rage 2 - Extreme Punishment Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage 2 - TMNT Edition;Streets of Rage 2 - TMNT Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Super Street Fighter II - Enhanced Colors;Super Street Fighter II - Enhanced Colors;Sega Mega Drive Hacks;;;;;;;;;;;;;;
TMNT Hyperstone Heist (Enhanced Colors);TMNT Hyperstone Heist (Enhanced Colors);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Ultimate Mortal Kombat Trilogy;Ultimate Mortal Kombat Trilogy;Sega Mega Drive Hacks;;2011;KABAL_MK;Fighting;2;;;;;;;;;
5 Orbs;5 Orbs;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
7th Saga - Redux, The;7th Saga - Redux, The;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
7th Saga - The New Class;7th Saga - The New Class;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
A Super Mario Thing;A Super Mario Thing;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Alex Kidd In Pancake World;Alex Kidd In Pancake World;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
BAO Super V.G.;BAO Super V.G.;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 1;BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 1;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 2;BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 2;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 3;BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 3;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 4;BS The Legend of Zelda - Ancient Stone Tablets - Master Quest 4;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Banzai Mario World;Banzai Mario World;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bowser Rampages Again;Bowser Rampages Again;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Breath of Fire II - Retranslation;Breath of Fire II - Retranslation;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Brutal Mario;Brutal Mario;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Castlevania - Dracula X - Trevor;Castlevania - Dracula X - Trevor;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Castlevania - Dracula X - Unsung Villian;Castlevania - Dracula X - Unsung Villian;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Chrono Trigger - Prophet's Guile;Chrono Trigger - Prophet's Guile;Super Nintendo Entertainment System Hacks;;2007;Kajar Laboratories;Role-Playing;1;;;;;;;;;
Chrono Trigger - Retranslation;Chrono Trigger - Retranslation;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Cinnamon Hills;Cinnamon Hills;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
F-ZERO - The Lost Tracks;F-ZERO - The Lost Tracks;Super Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Hyper Street Kart;Hyper Street Kart;Super Nintendo Entertainment System Hacks;;2016;Romhacking.net;Racing;2;;;;;;;;;
