1991 Du Ma Racing (China) (Translated En);1991 Du Ma Racing (China) (Translated En);Nintendo Famicom;;1991;Idea-Tek;Sports/Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);Arcade;;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);Final Burn Alpha;;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Advance);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Libretro);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
arlingtn;Arlington Horse Racing (v1.21-D);MAME (Mame4all);;1991;Strata/Incredible Technologies;Sports / Horse Racing;;;;;0;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PlayStation;;1999;Mattel;Sports/Horse Racing;;;;;0;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PSP;;1999;Mattel;Sports/Horse Racing;;;;;0;;;;;
Battle Jockey (Japan);Battle Jockey (Japan);Nintendo Super Famicom;;1994;Nova Games Ltd.;Sports/Horse Racing;;;;;0;;;;;
Bishoujo Sexy Derby (Japan) (Unl) (Translated En);Bishoujo Sexy Derby (Japan) (Unl) (Translated En);Nintendo Famicom Disk System;;1988;Super PIG;Sports/Horse Racing;;;;;0;;;;;
Classic Punter (Europe);Classic Punter (Europe);Amstrad CPC;;1989;GTI Software;Sports/Horse Racing;;;;;0;;;;;
Classic Racing (Europe);Classic Racing (Europe);Amstrad CPC;;1985;Amsoft;Sports/Horse Racing;;;;;0;;;;;
Classic Racing (Europe);Classic Racing (Europe);Sinclair ZX Spectrum;;1993;Lambourne Games;Sports/Horse Racing;;;;;0;;;;;
Classic Trainer (Europe);Classic Trainer (Europe);Amstrad CPC;;1989;GTI Software;Sports/Horse Racing;;;;;0;;;;;
Classic Trainer (Europe);Classic Trainer (Europe);Sinclair ZX Spectrum;;1989;GTI Software;Sports/Horse Racing;;;;;0;;;;;
Classic Trainer II (Europe);Classic Trainer II (Europe);Sinclair ZX Spectrum;;1990;GTI Software;Sports/Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);Arcade;;1998;Konami;Sports / Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);Arcade;;1998;Konami;Sports/Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);Final Burn Alpha;;1998;Konami;Sports/Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Advance);;1998;Konami;Sports / Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Advance);;1998;Konami;Sports/Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Libretro);;1998;Konami;Sports / Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Libretro);;1998;Konami;Sports/Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Mame4all);;1998;Konami;Sports / Horse Racing;;;;;0;;;;;
darkhleg;Dark Horse Legend (GX706 VER. JAA);MAME (Mame4all);;1998;Konami;Sports/Horse Racing;;;;;0;;;;;
