#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
4 in 1 Row (Europe);4 in 1 Row (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Alien Invaders - Plus (USA, Europe);Alien Invaders - Plus (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Alpine Skiing (USA, Europe);Alpine Skiing (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Armored Encounter + Sub Chase (USA, Europe);Armored Encounter + Sub Chase (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Atlantis (USA, Europe);Atlantis (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Attack of the Timelord (USA);Attack of the Timelord (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Baseball (USA, Europe);Baseball (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Billard Electrique (France);Billard Electrique (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Billiard Americain (France);Billiard Americain (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Blackjack (France);Blackjack (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Blobbers, The (Europe);Blobbers, The (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Blockout + Breakdown (USA, Europe);Blockout + Breakdown (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Bombardeio Submarino + Tiro ao Alvo (Brazil);Bombardeio Submarino + Tiro ao Alvo (Brazil);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Bowling + Basketball (USA, Europe);Bowling + Basketball (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Buraco Negro (Brazil);Buraco Negro (Brazil);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Casino Slot Machine (USA, Europe);Casino Slot Machine (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Catch the Ball + Noughts and Crosses (Europe);Catch the Ball + Noughts and Crosses (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Chat et Souris (France);Chat et Souris (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Chess (Europe);Chess (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Chinese Logic (Europe);Chinese Logic (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Clay Pigeon (Brazil);Clay Pigeon (Brazil);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Comando Noturno (Brazil);Comando Noturno (Brazil);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Computer Golf (USA);Computer Golf (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Computer Intro (USA);Computer Intro (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Computer Programmer (Europe);Computer Programmer (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Conflit Cosmique (Canada);Conflit Cosmique (Canada);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Conquest of the World (USA, Europe);Conquest of the World (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Cosmic Conflict (USA);Cosmic Conflict (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Course de Voitures + Autodrome + Cryptogramme (France);Course de Voitures + Autodrome + Cryptogramme (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Demon Attack (USA, Europe);Demon Attack (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Depth Charge + Marksman (Europe);Depth Charge + Marksman (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Desafio Chines (Brazil);Desafio Chines (Brazil);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Dynasty (USA);Dynasty (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Electronic Table Soccer (USA, Europe);Electronic Table Soccer (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Football (USA, Europe);Football (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Football Electronique + Hockey Electronique (France);Football Electronique + Hockey Electronique (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Freedom Fighters (USA, Europe);Freedom Fighters (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Frogger (Europe);Frogger (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Golf (Europe);Golf (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Great Wall Street Fortune Hunt, The (USA, Europe);Great Wall Street Fortune Hunt, The (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Guerre Laser (France);Guerre Laser (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Gunfighter (Europe);Gunfighter (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Hockey + Soccer (USA, Europe);Hockey + Soccer (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
I've Got Your Number (USA, Europe);I've Got Your Number (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Interpol (Europe) (Proto);Interpol (Europe) (Proto);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Invaders from Hyperspace (USA);Invaders from Hyperspace (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Jeu de Quilles + Basketball (France);Jeu de Quilles + Basketball (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Jumping Acrobats (Europe);Jumping Acrobats (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
K.C. Munchkin (USA);K.C. Munchkin (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
K.C.'s Krazy Chase (USA, Europe);K.C.'s Krazy Chase (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Keyboard Creations (USA);Keyboard Creations (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Killer Bees (USA);Killer Bees (USA);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Kinder im Verkehr 1 (Germany);Kinder im Verkehr 1 (Germany);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
La Quete des Anneaux (France);La Quete des Anneaux (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Labyrinth Game, A + Supermind (Europe);Labyrinth Game, A + Supermind (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Las Vegas (France);Las Vegas (France);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Las Vegas Blackjack (USA, Europe);Las Vegas Blackjack (USA, Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
Laser War (Europe);Laser War (Europe);Magnavox Odyssey 2;;;;;;;;;;;;;;;;;;
