2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2004;THQ;Driving/Motorcycle;;;;;0;;;;;
3D Stunt Rider (Europe);3D Stunt Rider (Europe);Amstrad CPC;;1985;DJL Software;Motorcycle;;;;;0;;;;;
500cc Grand Prix (France);500cc Grand Prix (France);Commodore 64;;1987;Loriciels Ltd./Microïds;Motorcycle;;;;;0;;;;;
750cc Grand Prix (Europe);750cc Grand Prix (Europe);Amstrad CPC;;1989;Codemasters;Motorcycle;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);Arcade;;1990;Sega;Motorcycle;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);Final Burn Alpha;;1990;Sega;Motorcycle;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Advance);;1990;Sega;Motorcycle;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Libretro);;1990;Sega;Motorcycle;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Mame4all);;1990;Sega;Motorcycle;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);Arcade;abcop;1990;Sega;Motorcycle;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);Final Burn Alpha;abcop;1990;Sega;Motorcycle;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Advance);abcop;1990;Sega;Motorcycle;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Libretro);abcop;1990;Sega;Motorcycle;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Mame4all);abcop;1990;Sega;Motorcycle;;;;;0;;;;;
Action Biker (Europe);Action Biker (Europe);Commodore 64;;1985;Mastertronic;Motorcycle;;;;;0;;;;;
Angel Nieto Pole 500 (Europe);Angel Nieto Pole 500 (Europe);Atari ST;;1990;Opera Sport;Motorcycle;;;;;0;;;;;
Angel Nieto Pole 500cc (Spain);Angel Nieto Pole 500cc (Spain);Amstrad CPC;;1990;Opera Soft;Motorcycle;;;;;0;;;;;
Aspar GP Master (Europe);Aspar GP Master (Europe);Amstrad CPC;;1988;Dinamic Software;Motorcycle;;;;;0;;;;;
At the Tapes (Side A) (Europe);At the Tapes (Side A) (Europe);Sinclair ZX Spectrum;;1984;Lambourne Games;Motorcycle;;;;;0;;;;;
At the Tapes (Side B) (Europe);At the Tapes (Side B) (Europe);Sinclair ZX Spectrum;;1984;Lambourne Games;Motorcycle;;;;;0;;;;;
Best Of Speedway, The (Side A) (Europe);Best Of Speedway, The (Side A) (Europe);Sinclair ZX Spectrum;;1993;Lambourne Games;Motorcycle;;;;;0;;;;;
Best Of Speedway, The (Side B) (Europe);Best Of Speedway, The (Side B) (Europe);Sinclair ZX Spectrum;;1993;Lambourne Games;Motorcycle;;;;;0;;;;;
Biker (Germany) (Unl);Biker (Germany) (Unl);Atari ST;;1989;Reiner Glock;Motorcycle;;;;;0;;;;;
Castrol Honda Superbike Racing (USA);Castrol Honda Superbike Racing (USA);Sony PlayStation;;1999;Electronic Arts;Motorcycle;;;;;0;;;;;
Castrol Honda World Superbike Team VTR (Europe);Castrol Honda World Superbike Team VTR (Europe);Sony PlayStation;;2001;Midas Interactive Entertainment;Motorcycle;;;;;0;;;;;
Combo Racer (Europe);Combo Racer (Europe);Atari ST;;1990;Gremlin Graphics;Motorcycle;;;;;0;;;;;
coolridr;Cool Riders;Arcade;;1995;Sega;Motorcycle;;;;;0;;;;;
coolridr;Cool Riders;Final Burn Alpha;;1995;Sega;Motorcycle;;;;;0;;;;;
coolridr;Cool Riders;MAME (Advance);;1995;Sega;Motorcycle;;;;;0;;;;;
coolridr;Cool Riders;MAME (Libretro);;1995;Sega;Motorcycle;;;;;0;;;;;
coolridr;Cool Riders;MAME (Mame4all);;1995;Sega;Motorcycle;;;;;0;;;;;
Cross Racer (Netherlands);Cross Racer (Netherlands);Commodore 64;;198x;Courbois Software;Motorcycle;;;;;0;;;;;
Cycles, The (Europe);Cycles, The (Europe);Amstrad CPC;;1989;Accolade;Motorcycle;;;;;0;;;;;
Cycles, The (Europe);Cycles, The (Europe);Sinclair ZX Spectrum;;1989;Accolade;Motorcycle;;;;;0;;;;;
Cycles, The - International Grand Prix Racing (USA);Cycles, The - International Grand Prix Racing (USA);Commodore 64;;1991;Accolade;Motorcycle;;;;;0;;;;;
Ducati Moto (USA);Ducati Moto;Nintendo DS;;;;;;;;;0;;;;;
Ducati World - Racing Challenge (USA);Ducati World - Racing Challenge (USA);Sony PlayStation;;2001;Acclaim;Motorcycle;;;;;0;;;;;
Eddie Kidd Jump Challenge (Europe);Eddie Kidd Jump Challenge (Europe);Commodore 64;;1984;Martech;Motorcycle;;;;;0;;;;;
Endurance (Europe);Endurance (Europe);Amstrad CPC;;1986;CRL Group;Motorcycle;;;;;0;;;;;
Four Team Tournament (Europe);Four Team Tournament (Europe);Commodore 64;;1992;ET Software;Motorcycle;;;;;0;;;;;
gprider;GP Rider (World, FD1094 317-0163);Arcade;;1990;Sega;Motorcycle;;;;;0;;;;;
gprider;GP Rider (World, FD1094 317-0163);Final Burn Alpha;;1990;Sega;Motorcycle;;;;;0;;;;;
gprider;GP Rider (World, FD1094 317-0163);MAME (Advance);;1990;Sega;Motorcycle;;;;;0;;;;;
gprider;GP Rider (World, FD1094 317-0163);MAME (Libretro);;1990;Sega;Motorcycle;;;;;0;;;;;
gprider;GP Rider (World, FD1094 317-0163);MAME (Mame4all);;1990;Sega;Motorcycle;;;;;0;;;;;
gpriderj;GP Rider (Japan, FD1094 317-0161);Arcade;gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gpriderj;GP Rider (Japan, FD1094 317-0161);Final Burn Alpha;gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gpriderj;GP Rider (Japan, FD1094 317-0161);MAME (Advance);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gpriderj;GP Rider (Japan, FD1094 317-0161);MAME (Libretro);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gpriderj;GP Rider (Japan, FD1094 317-0161);MAME (Mame4all);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gprideru;GP Rider (US, FD1094 317-0162);Arcade;gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gprideru;GP Rider (US, FD1094 317-0162);Final Burn Alpha;gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gprideru;GP Rider (US, FD1094 317-0162);MAME (Advance);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gprideru;GP Rider (US, FD1094 317-0162);MAME (Libretro);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
gprideru;GP Rider (US, FD1094 317-0162);MAME (Mame4all);gprider;1990;Sega;Motorcycle;;;;;0;;;;;
Grand Prix 500 2 (Europe);Grand Prix 500 2 (Europe);Amstrad CPC;;1991;Microids;Motorcycle;;;;;0;;;;;
Grand Prix 500cc (Europe);Grand Prix 500cc (Europe);Atari ST;;1987;Microids;Motorcycle;;;;;0;;;;;
Grand Prix 500cc (France);Grand Prix 500cc (France);Amstrad CPC;;1986;Microids;Motorcycle;;;;;0;;;;;
Grand Prix 500cc 2 (Europe) (Disk 1);Grand Prix 500cc 2 (Europe) (Disk 1);Atari ST;;1990;Microids;Motorcycle;;;;;0;;;;;
Grand Prix 500cc 2 (Europe) (Disk 2);Grand Prix 500cc 2 (Europe) (Disk 2);Atari ST;;1990;Microids;Motorcycle;;;;;0;;;;;
Grand Prix Master (Europe);Grand Prix Master (Europe);Amstrad CPC;;1988;Dinamic Software;Motorcycle;;;;;0;;;;;
Grand Prix Master (Europe);Grand Prix Master (Europe);Atari ST;;1989;Dinamic;Motorcycle;;;;;0;;;;;
Grand Prix Master (Spain);Grand Prix Master (Spain);Commodore 64;;1989;Dinamic Software;Motorcycle;;;;;0;;;;;
Hang-On & Safari Hunt (USA);Hang-On & Safari Hunt (USA);Sega Master System;;1986;Sega;Compilation;;;;;0;;;;;
Hang-On (Europe);Hang-On (Europe);Sega Master System;;1985;Sega;Motorcycle;;;;;0;;;;;
Hang-On (Japan) (Alt 1);Hang-On (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Hang-On (Japan) (Alt 2);Hang-On (Japan) (Alt 2);Microsoft MSX;;;;;;;;;0;;;;;
Hang-On (Japan);Hang-On (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Hang-On II (Japan);Hang-On II (Japan);Sega SG-1000;;1985;Sega;Driving;;;;;0;;;;;
hangon1;Hang-On;Arcade;hangon;1985;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
hangon1;Hang-On;Arcade;hangon;1985;Sega;Motorcycle;;;;;0;;;;;
hangon1;Hang-On;Final Burn Alpha;hangon;1985;Sega;;;;;;0;;;;;
hangon1;Hang-On;Final Burn Alpha;hangon;1985;Sega;Motorcycle;;;;;0;;;;;
hangon1;Hang-On;MAME (Advance);hangon;1985;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
hangon1;Hang-On;MAME (Advance);hangon;1985;Sega;Motorcycle;;;;;0;;;;;
hangon1;Hang-On;MAME (Libretro);hangon;1985;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
hangon1;Hang-On;MAME (Libretro);hangon;1985;Sega;Motorcycle;;;;;0;;;;;
hangon1;Hang-On;MAME (Mame4all);hangon;1985;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
hangon1;Hang-On;MAME (Mame4all);hangon;1985;Sega;Motorcycle;;;;;0;;;;;
