#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 - GoldenEye (USA);007 - GoldenEye (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding (Japan, USA) (En,Ja);Nintendo 64;;;;;;;;;;;;;;;;;;
AeroFighters Assault (USA);AeroFighters Assault (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
AeroGauge (USA);AeroGauge (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Aidyn Chronicles - The First Mage (USA);Aidyn Chronicles - The First Mage (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Air Boarder 64 (Europe);Air Boarder 64 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
All Star Tennis '99 (USA);All Star Tennis '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Banjo-Kazooie (Europe) (En,Fr,De);Banjo-Kazooie (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Banjo-Kazooie (USA) (Rev A);Banjo-Kazooie (USA) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Banjo-Tooie (Europe) (En,Fr,De,Es);Banjo-Tooie (Europe) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Banjo-Tooie (USA);Banjo-Tooie (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
BattleTanx (USA);BattleTanx (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone - Rise of the Black Dogs (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing! (USA) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Blast Corps (Europe) (En,De);Blast Corps (Europe) (En,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Blast Corps (USA) (Rev A);Blast Corps (USA) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Blues Brothers 2000 (USA);Blues Brothers 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Body Harvest (USA);Body Harvest (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bomberman 64 (Europe);Bomberman 64 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Bomberman 64 (USA);Bomberman 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bomberman 64 - The Second Attack! (USA);Bomberman 64 - The Second Attack! (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bomberman Hero (Europe);Bomberman Hero (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Bomberman Hero (USA);Bomberman Hero (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Buck Bumble (USA);Buck Bumble (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bug's Life, A (USA);Bug's Life, A (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bust-A-Move '99 (USA);Bust-A-Move '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bust-A-Move 2 - Arcade Edition (USA);Bust-A-Move 2 - Arcade Edition (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Bust-A-Move 3 DX (Europe);Bust-A-Move 3 DX (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
California Speed (USA);California Speed (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Carmageddon 64 (Europe) (En,Fr,De,Es);Carmageddon 64 (Europe) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Carmageddon 64 (USA);Carmageddon 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Castlevania (Europe) (En,Fr,De);Castlevania (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Castlevania (USA) (Rev B);Castlevania (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Castlevania - Legacy of Darkness (Europe) (En,Fr,De);Castlevania - Legacy of Darkness (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Castlevania - Legacy of Darkness (USA);Castlevania - Legacy of Darkness (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Chameleon Twist (USA);Chameleon Twist (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Chameleon Twist 2 (USA);Chameleon Twist 2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Charlie Blast's Territory (USA);Charlie Blast's Territory (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Chopper Attack (USA);Chopper Attack (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Command & Conquer (USA);Command & Conquer (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Conker's Bad Fur Day (USA);Conker's Bad Fur Day (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n USA (Europe);Cruis'n USA (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n USA (USA) (Rev B);Cruis'n USA (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Cruis'n World (USA);Cruis'n World (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
CyberTiger (USA);CyberTiger (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Dark Rift (USA);Dark Rift (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Deadly Arts (USA);Deadly Arts (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
