#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3-jigen Kakutou Ballz (Japan);3-jigen Kakutou Ballz (Japan);Nintendo Super Famicom;;;;;;;;;0;;;;;
Accele Brid (Japan) (Translated En);Accele Brid (Japan) (Translated En);Nintendo Super Famicom;;1993;Genki;Action;;;;;0;;;;;
Ace o Nerae! (Japan) (Translated En);Ace o Nerae! (Japan) (Translated En);Nintendo Super Famicom;;1993;Nippon Telenet;Sports/Tennis;;;;;0;;;;;
Acrobat Mission (Japan);Acrobat Mission (Japan);Nintendo Super Famicom;;1992;Micronics;Shoot-'Em-Up;;;;;0;;;;;
ActRaiser (Japan) (Translated En);ActRaiser (Japan) (Translated En);Nintendo Super Famicom;;1990;Quintet;Action;;;;;0;;;;;
Action Pachio (Japan);Action Pachio (Japan);Nintendo Super Famicom;;1993;C-Lab;Platform;;;;;0;;;;;
Alcahest (Japan) (Translated En);Alcahest (Japan) (Translated En);Nintendo Super Famicom;;1993;Squaresoft;Action;;;;;0;;;;;
Aliens vs. Predator (Japan);Aliens vs. Predator (Japan);Nintendo Super Famicom;;1993;Jorudan;Beat-'Em-Up;;;;;0;;;;;
Amazing Spider-Man, The - Lethal Foes (Japan) (Translated En);Amazing Spider-Man, The - Lethal Foes (Japan) (Translated En);Nintendo Super Famicom;;1995;Agenda;Action;;;;;0;;;;;
American Battle Dome (Japan);American Battle Dome (Japan);Nintendo Super Famicom;;1995;Betop;Action;;;;;0;;;;;
Ancient Magic - Bazoe! Mahou Sekai (Japan) (Translated En);Ancient Magic - Bazoe! Mahou Sekai (Japan) (Translated En);Nintendo Super Famicom;;1993;Hot-B;Role-Playing;;;;;0;;;;;
Aoki Densetsu Shoot! (Japan);Aoki Densetsu Shoot! (Japan);Nintendo Super Famicom;;1994;Affect;Sports/Soccer;;;;;0;;;;;
Appleseed - Prometheus no Shintaku (Japan);Appleseed - Prometheus no Shintaku (Japan);Nintendo Super Famicom;;1994;Kan's;Platform;;;;;0;;;;;
Arabian Nights - Sabaku no Seirei Ou (Japan) (Translated En);Arabian Nights - Sabaku no Seirei Ou (Japan) (Translated En);Nintendo Super Famicom;;1996;Pandora Box;Role-Playing;;;;;0;;;;;
Araiguma Rascal (Japan);Araiguma Rascal (Japan);Nintendo Super Famicom;;1994;J-Force;Puzzle;;;;;0;;;;;
Arcus Spirits (Japan);Arcus Spirits (Japan);Nintendo Super Famicom;;1993;Wolf Team;Role-Playing;;;;;0;;;;;
Aryol (Japan);Aryol (Japan);Nintendo Super Famicom;;1994;Altron;Puzzle;;;;;0;;;;;
Asameshimae Nyanko (Japan);Asameshimae Nyanko (Japan);Nintendo Super Famicom;;1994;J-Force;Board Games;;;;;0;;;;;
Ashita no Joe (Japan) (Translated En);Ashita no Joe (Japan) (Translated En);Nintendo Super Famicom;;1992;Wave;Sports/Boxing;;;;;0;;;;;
Assault Suits Valken (Japan) (Translated En);Assault Suits Valken (Japan) (Translated En);Nintendo Super Famicom;;1992;NCS;Shooter;;;;;0;;;;;
Bahamut Lagoon (Japan) (Translated En);Bahamut Lagoon (Japan) (Translated En);Nintendo Super Famicom;;1993;Squaresoft;Role-Playing;;;;;0;;;;;
Bakukyuu Renpatsu!! Super B-Daman (Japan);Bakukyuu Renpatsu!! Super B-Daman (Japan);Nintendo Super Famicom;;1997;Amble;Shoot-'Em-Up;;;;;0;;;;;
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Nintendo Super Famicom;;1994;Genki;Action;;;;;0;;;;;
Ball Bullet Gun - Survival Game Simulation (Japan) (Translated En);Ball Bullet Gun - Survival Game Simulation (Japan) (Translated En);Nintendo Super Famicom;;1995;Betop;Simulation;;;;;0;;;;;
Bastard!! Ankoku no Hakaishin (Japan) (Translated En);Bastard!! Ankoku no Hakaishin (Japan) (Translated En);Nintendo Super Famicom;;1994;Cobra Team;Fighter;;;;;0;;;;;
