2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Sega;Fighter/Pinball;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;
3-D Pinball - Pinball Power (Europe);3-D Pinball - Pinball Power (Europe);Commodore 64;;1990;Mastertronic;Action;;;;;0;;;;;
3-D Ultra Pinball - Thrillride (USA);3-D Ultra Pinball - Thrillride (USA);Nintendo Game Boy Color;;1995;Sierra Entertainment;Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Arcade;;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;MAME (Advance);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;MAME (Libretro);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;MAME (Mame4all);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Amstrad CPC;;1988;Codemasters;Pinball;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Commodore 64;;1989;Codemasters;Action;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Sinclair ZX Spectrum;;1990;Codemasters;Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);MAME (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);MAME (Libretro);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);MAME (Mame4all);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Arcade;;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);MAME (Advance);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);MAME (Libretro);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);MAME (Mame4all);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);MAME (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
