180 (CCS) (Europe);180 (CCS) (Europe);Sinclair ZX Spectrum;;1984;CCS;Sports/Pool and Dart;;;;;0;;;;;
180 (Europe);180 (Europe);Amstrad CPC;;1986;Mastertronic;Sports/Pool and Dart;;;;;0;;;;;
180 (Europe);180 (Europe);Commodore 64;;1986;MAD (Mastertronic's Added Dimension);Sports/Pool and Dart;;;;;0;;;;;
180 (Europe) (Unl);180 (Europe) (Unl);Atari ST;;1994;Nathan Taylor;Sports/Pool and Dart;;;;;0;;;;;
180 (Mastertronic) (Europe);180 (Mastertronic) (Europe);Sinclair ZX Spectrum;;1986;Mastertronic Added Dimension;Sports/Pool and Dart;;;;;0;;;;;
180 (Mikro-Gen) (Europe);180 (Mikro-Gen) (Europe);Sinclair ZX Spectrum;;1983;Mikro-Gen;Sports/Pool and Dart;;;;;0;;;;;
3-D Pool (Europe);3-D Pool (Europe);Atari ST;;1989;Firebird;Sports/Pool and Dart;;;;;0;;;;;
3D Pool (Europe);3D Pool (Europe);Commodore 64;;1989;Firebird;Sports/Pool and Dart;;;;;0;;;;;
3D Pool (Europe);3D Pool (Europe);Sinclair ZX Spectrum;;1989;Firebird Software;Sports/Pool and Dart;;;;;0;;;;;
3D Snooker (Europe);3D Snooker (Europe);Amstrad CPC;;1990;Players Premier;Sports/Pool and Dart;;;;;0;;;;;
3D Snooker (Europe);3D Snooker (Europe);Sinclair ZX Spectrum;;1990;Players Premier Software;Sports/Pool and Dart;;;;;0;;;;;
8ball1;Video Eight Ball (Rev.1);Arcade;8ball;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball1;Video Eight Ball (Rev.1);Final Burn Alpha;8ball;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball1;Video Eight Ball (Rev.1);MAME (Advance);8ball;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball1;Video Eight Ball (Rev.1);MAME (Libretro);8ball;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball1;Video Eight Ball (Rev.1);MAME (Mame4all);8ball;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ballact2;Eight Ball Action (DKJr conversion);Arcade;8ballact;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact2;Eight Ball Action (DKJr conversion);Final Burn Alpha;8ballact;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact2;Eight Ball Action (DKJr conversion);MAME (Advance);8ballact;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact2;Eight Ball Action (DKJr conversion);MAME (Libretro);8ballact;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact2;Eight Ball Action (DKJr conversion);MAME (Mame4all);8ballact;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact;Eight Ball Action (DK conversion);Arcade;;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact;Eight Ball Action (DK conversion);Final Burn Alpha;;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact;Eight Ball Action (DK conversion);MAME (Advance);;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact;Eight Ball Action (DK conversion);MAME (Libretro);;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8ballact;Eight Ball Action (DK conversion);MAME (Mame4all);;1984;Seatongrove Ltd (Magic Electronics USA license);Sports / Pool;;;;;0;;;;;
8 Ball (USA);8 Ball (USA);Atari ST;;1986;MichTron;Sports/Pool and Dart;;;;;0;;;;;
8ball;Video Eight Ball;Arcade;;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball;Video Eight Ball;Final Burn Alpha;;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball;Video Eight Ball;MAME (Advance);;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball;Video Eight Ball;MAME (Libretro);;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
8ball;Video Eight Ball;MAME (Mame4all);;1982;Century Electronics;Sports / Pool;;;;;0;;;;;
