#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
100 4 1 (Europe) (Unl);100 4 1 (Europe) (Unl);Atari ST;;1997;Howard Clarke;Puzzle;;;;;0;;;;;
2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es);2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2008;Sega;Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Platform/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Platform/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Fighter/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es,It+En,Ja,Fr,De,Es);Nintendo Game Boy Advance;;2005;THQ;Fighter/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);Nintendo Game Boy Advance;;2005;Nintendo;Puzzle;;;;;0;;;;;
2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);2 Games in One! - Dr. Mario + Puzzle League (USA, Australia);Nintendo Game Boy Advance;;2005;Nintendo;Puzzle;;;;;0;;;;;
2 Games in One! - Marble Madness + Klax (USA);2 Games in One! - Marble Madness + Klax (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action/Puzzle;;;;;0;;;;;
2nd Space (Asia) (Unl);2nd Space (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Puzzle;;;;;0;;;;;
3, 2, 1 …supercrash! (USA);3, 2, 1 …Supercrash!;Sony PSP Minis;;2010;StormBASIC Games;Puzzle;;;;;0;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;1995;Psygnosis;Puzzle;;;;;0;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PSP;;1995;Psygnosis;Puzzle;;;;;0;;;;;
3D Master Game (Europe);3D Master Game (Europe);Sinclair ZX Spectrum;;1983;Supersoft Systems;Puzzle;;;;;0;;;;;
3D Oxo (Europe);3D Oxo (Europe);Sinclair ZX Spectrum;;1983;Oasis Software;Puzzle;;;;;0;;;;;
3D-Tetris (Czech Republic);3D-Tetris (Czech Republic);Sinclair ZX Spectrum;;1989;Antic Software;Puzzle;;;;;0;;;;;
3-D Tetris (USA);3-D Tetris (USA);Nintendo Virtual Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
3-D Tic-Tac-Toe (USA);3-D Tic-Tac-Toe (USA);Atari 2600;;1980;Atari;Puzzle;;;;;0;;;;;
3D Twist & Match (USA);3D Twist and Match;Sony PSP Minis;;2011;Sanuk Games;Puzzle;;;;;0;;;;;
3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);3 Game Pack! - Ker Plunk! + Toss Across + Tip It (USA);Nintendo Game Boy Advance;;2006;DSI Games;Puzzle;;;;;0;;;;;
3kokushi;Sankokushi (Japan);Arcade;;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);Final Burn Alpha;;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Advance);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Libretro);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
3kokushi;Sankokushi (Japan);MAME (Mame4all);;1996;Mitchell;Puzzle / Match * Mature *;;;;;0;;;;;
