2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe);2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe);Nintendo Game Boy Advance;;2006;Destination Software;Driving;;;;;0;;;;;
2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA);2 Games in 1 - Hot Wheels - Velocity X + Hot Wheels - World Race (USA);Nintendo Game Boy Advance;;2005;THQ;Driving;;;;;0;;;;;
A2 Racer - Europa Tour (Netherlands);A2 Racer - Europa Tour (Netherlands);Sony PlayStation;;2002;Davilex;Driving;;;;;0;;;;;
A2 Racer - Europa Tour (Netherlands);A2 Racer - Europa Tour (Netherlands);Sony PSP;;2002;Davilex;Driving;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);Arcade;;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Advance);;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Libretro);;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);MAME (Mame4all);;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);Arcade;abcop;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Advance);abcop;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Libretro);abcop;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);MAME (Mame4all);abcop;1990;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
acedrvrw;Ace Driver Racing Evolution (Rev. AD2);Arcade;;1994;Namco;Driving / Race 1st Person;;;;;0;;;;;
acedrvrw;Ace Driver Racing Evolution (Rev. AD2);MAME (Advance);;1994;Namco;Driving / Race 1st Person;;;;;0;;;;;
acedrvrw;Ace Driver Racing Evolution (Rev. AD2);MAME (Libretro);;1994;Namco;Driving / Race 1st Person;;;;;0;;;;;
acedrvrw;Ace Driver Racing Evolution (Rev. AD2);MAME (Mame4all);;1994;Namco;Driving / Race 1st Person;;;;;0;;;;;
adillor;Armadillo Racing (Rev. AM1 Ver.A);Arcade;;1996;Namco;Driving / Race (chase view);;;;;0;;;;;
adillor;Armadillo Racing (Rev. AM1 Ver.A);MAME (Advance);;1996;Namco;Driving / Race (chase view);;;;;0;;;;;
adillor;Armadillo Racing (Rev. AM1 Ver.A);MAME (Libretro);;1996;Namco;Driving / Race (chase view);;;;;0;;;;;
adillor;Armadillo Racing (Rev. AM1 Ver.A);MAME (Mame4all);;1996;Namco;Driving / Race (chase view);;;;;0;;;;;
airrace;Air Race (prototype);Arcade;;1985;Atari Games;Driving / Plane;;;;;0;;;;;
airrace;Air Race (prototype);MAME (Advance);;1985;Atari Games;Driving / Plane;;;;;0;;;;;
airrace;Air Race (prototype);MAME (Libretro);;1985;Atari Games;Driving / Plane;;;;;0;;;;;
airrace;Air Race (prototype);MAME (Mame4all);;1985;Atari Games;Driving / Plane;;;;;0;;;;;
amspdwya;American Speedway (set 2);Arcade;amspdwy;1987;Enerdyne Technologies Inc.;Driving / Race Track;;;;;0;;;;;
amspdwya;American Speedway (set 2);Final Burn Alpha;amspdwy;1987;Enerdyne Technologies Inc.;Driving / Race Track;;;;;0;;;;;
