Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Sega Genesis;;1994;Angel Studios;Beat-'Em-Up;;;;;0;;;;;
Bishoujo Senshi Sailor Moon (Japan) (Translated En);Bishoujo Senshi Sailor Moon (Japan) (Translated En);Nintendo Game Boy;;1992;Bandai;Action;;;;;0;;;;;
Bishoujo Senshi Sailor Moon R (Japan) (Translated En);Bishoujo Senshi Sailor Moon R (Japan) (Translated En);Nintendo Super Famicom;;1993;Bandai;Beat-'Em-Up;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S (Japan);Bishoujo Senshi Sailor Moon S (Japan);Panasonic 3DO;;1995;Bandai;Fighter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S (Japan);Bishoujo Senshi Sailor Moon S (Japan);Sega Game Gear;;1995;Bandai;Action;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Nintendo Super Famicom;;1994;Angel (Bandai);Fighter;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan);Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan);Nintendo Super Famicom;;1994;Tom Create;Puzzle;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan);Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan);Nintendo Super Famicom;;1995;Tom Create;Puzzle;;;;;0;;;;;
Bishoujo Senshi Sailor Moon Super S - Fuwafuwa Panic (Japan);Bishoujo Senshi Sailor Moon Super S - Fuwafuwa Panic (Japan);Nintendo Super Famicom;;1995;Tom Create;Puzzle;;;;;0;;;;;
Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Nintendo Super Famicom;;1996;Monolith (Japan);Fighter;;;;;0;;;;;
