DonkTheSamuraiDuck_v1.2_AGA_0647;Donk! - The Samurai Duck!;Commodore Amiga;;;;;;;;;0;;;;;
First Samurai (Europe);First Samurai (Europe);Commodore 64;;1992;ImageWorks/Vivid Image;Platform;;;;;0;;;;;
First Samurai (USA);First Samurai (USA);Super Nintendo Entertainment System;;1993;Kemco;Action;;;;;0;;;;;
First Samurai, The (Europe);First Samurai, The (Europe);Atari ST;;1991;Image Works;Action;;;;;0;;;;;
FirstSamurai_v1.5_1182;First Samurai, The;Commodore Amiga;;;;;;;;;0;;;;;
Last Blade 2 - Heart of the Samurai, The (USA);Last Blade 2 - Heart of the Samurai, The (USA);Sega Dreamcast;;2001;Agetec Inc.;Fighter;;;;;0;;;;;
Nettou Samurai Spirits - Zankurou Musouken (Japan);Nettou Samurai Spirits - Zankurou Musouken (Japan);Nintendo Game Boy;;1996;Betop;Fighter;;;;;0;;;;;
Power Rangers - Samurai (USA) (En,Fr,Es);Power Rangers - Samurai;Nintendo DS;;;;;;;;;0;;;;;
Rising Zan - The Samurai Gunman (USA);Rising Zan - The Samurai Gunman (USA);Sony PSP;;1999;Agetec;Adventure;;;;;0;;;;;
Rising Zan - The Samurai Gunman (USA);Rising Zan - The Samurai Gunman (USA);Sony PlayStation;;1999;Agetec;Adventure;;;;;0;;;;;
Samurai (Europe) (Unl);Samurai (Europe) (Unl);Amstrad CPC;;1990;Amstar & CPC;Shoot-'Em-Up;;;;;0;;;;;
Samurai (Europe);Samurai (Europe);Sinclair ZX Spectrum;;1986;CRL Group;Strategy;;;;;0;;;;;
Samurai - The Way of the Warrior (Europe);Samurai - The Way of the Warrior (Europe);Atari ST;;1992;Impressions;Strategy;;;;;0;;;;;
Samurai Deeper Kyo (USA);Samurai Deeper Kyo (USA);Nintendo Game Boy Advance;;2008;Bold Games;Beat-'Em-Up;;;;;0;;;;;
Samurai Jack - The Amulet of Time (USA, Europe);Samurai Jack - The Amulet of Time (USA, Europe);Nintendo Game Boy Advance;;2003;Bam Entertainment;Platform;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Sega CD;;1993;JVC Musal Indicustries, Inc.;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Sega Game Gear;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Sega Genesis;;1994;Saurus;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Super Nintendo Entertainment System;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA, Europe);Samurai Shodown (USA, Europe);Nintendo Game Boy;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA, Europe);Samurai Shodown (USA, Europe);Panasonic 3DO;;1994;Crystal Dynamics;Fighter;;;;;0;;;;;
Samurai Shodown - Warriors Rage (USA);Samurai Shodown - Warriors Rage (USA);Sony PSP;;2000;SNK;Fighter;;;;;0;;;;;
Samurai Shodown - Warriors Rage (USA);Samurai Shodown - Warriors Rage (USA);Sony PlayStation;;2000;SNK;Fighter;;;;;0;;;;;
Samurai Shodown III - Blades of Blood (USA);Samurai Shodown III - Blades of Blood (USA);Sony PSP;;1996;SCEA;Fighter;;;;;0;;;;;
Samurai Shodown III - Blades of Blood (USA);Samurai Shodown III - Blades of Blood (USA);Sony PlayStation;;1996;SCEA;Fighter;;;;;0;;;;;
Samurai Shodown! - Pocket Fighting Series (Japan, Europe);Samurai Shodown! - Pocket Fighting Series (Japan, Europe);SNK Neo Geo Pocket;;1998;SNK;Fighter;;;;;0;;;;;
Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja);Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja);SNK Neo Geo Pocket Color;;1999;SNK;Fighter;;;;;0;;;;;
Samurai Sword (Japan) (Translated En);Samurai Sword (Japan) (Translated En);Nintendo Famicom Disk System;;1988;Capcom;Adventure;;;;;0;;;;;
Samurai Trilogy (Europe) (Disk 1);Samurai Trilogy (Europe) (Disk 1);Amstrad CPC;;1987;Gremlin Graphics Software;Fighter;;;;;0;;;;;
Samurai Trilogy (Europe) (Disk 2);Samurai Trilogy (Europe) (Disk 2);Amstrad CPC;;1987;Gremlin Graphics Software;Fighter;;;;;0;;;;;
Samurai Trilogy (Europe) (Side A);Samurai Trilogy (Europe) (Side A);Commodore 64;;1987;Gremlin Graphics Software Ltd.;Fighter;;;;;0;;;;;
Samurai Trilogy (Europe) (Side B);Samurai Trilogy (Europe) (Side B);Commodore 64;;1987;Gremlin Graphics Software Ltd.;Fighter;;;;;0;;;;;
Samurai Trilogy (Side A) (Europe);Samurai Trilogy (Side A) (Europe);Sinclair ZX Spectrum;;1987;Gremlin Graphics Software;Fighter;;;;;0;;;;;
Samurai Trilogy (Side B) (Europe);Samurai Trilogy (Side B) (Europe);Sinclair ZX Spectrum;;1987;Gremlin Graphics Software;Fighter;;;;;0;;;;;
Samurai Warrior (Europe);Samurai Warrior (Europe);Sinclair ZX Spectrum;;1982;MC Lothlorien;Strategy;;;;;0;;;;;
Samurai Warrior - The Battles of Usagi Yojimbo (Europe);Samurai Warrior - The Battles of Usagi Yojimbo (Europe);Commodore 64;;1988;Firebird;Adventure;;;;;0;;;;;
Samurai Warrior - The Battles of Usaji Yojimbo (Europe);Samurai Warrior - The Battles of Usaji Yojimbo (Europe);Sinclair ZX Spectrum;;1988;Firebird Software;Fighter;;;;;0;;;;;
Samurai-Ghost (USA);Samurai-Ghost (USA);NEC TurboGrafx-16;;1992;Namco;Action;;;;;0;;;;;
Second Samurai (Europe);Second Samurai (Europe);Sega Genesis;;1994;Vivid Image;Beat-'Em-Up;;;;;0;;;;;
SecondSamurai_v1.1_AGA_1624;Second Samurai;Commodore Amiga;;;;;;;;;0;;;;;
Soul of the Samurai (USA);Soul of the Samurai (USA);Sony PSP;;1999;Konami;Adventure;;;;;0;;;;;
Soul of the Samurai (USA);Soul of the Samurai (USA);Sony PlayStation;;1999;Konami;Adventure;;;;;0;;;;;
Sword of the Samurai (Europe);Sword of the Samurai (Europe);Amstrad CPC;;1992;Zeppelin Games;Beat-'Em-Up;;;;;0;;;;;
