#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Sony PlayStation;;2000;Electronic Arts;Shooter;;;;;;;;;;
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Sony PlayStation;;1999;Electronic Arts;Action / Shooter;;;;;;;;;;
007 Racing (USA);007 Racing (USA);Sony PlayStation;;2010;Electronic Arts;Racing;;;;;;;;;;
100% Star (Europe);100% Star (Europe);Sony PlayStation;;;;;;;;;;;;;;
1Xtreme (USA);1Xtreme (USA);Sony PlayStation;;1995;SCEA;Racing;;;;;;;;;;
2002 FIFA World Cup (USA) (En,Es);2002 FIFA World Cup (USA) (En,Es);Sony PlayStation;;2002;Electronic Arts;Sports;;;;;;;;;;
2Xtreme (USA);2Xtreme (USA);Sony PlayStation;;1996;SCEA;Racing / Sports;2;;;;;;;;;
360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv);360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv);Sony PlayStation;;;Cryo Interactive;;;;;;;;;;;
3D Baseball (USA);3D Baseball (USA);Sony PlayStation;;1996;Crystal Dynamics;Sports;;;;;;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;;;;;;;;;;;;;
3Xtreme (USA);3Xtreme (USA);Sony PlayStation;;1999;989 Sports;Sports;2;;;;;;;;;
40 Winks (USA);40 Winks (USA);Sony PlayStation;;1999;GT Interactive;Platform;1;;;;;;;;;
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);Sony PlayStation;;;;;;;;;;;;;;
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De);A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De);Sony PlayStation;;;;;;;;;;;;;;
A2 Racer - Europa Tour (Netherlands);A2 Racer - Europa Tour (Netherlands);Sony PlayStation;;;;;;;;;;;;;;
ATV - Quad Power Racing (USA);ATV - Quad Power Racing (USA);Sony PlayStation;;2000;Acclaim;Racing;;;;;;;;;;
ATV Mania (USA);ATV Mania (USA);Sony PlayStation;;2003;Gotham Games;Racing;;;;;;;;;;
ATV Racers (USA);ATV Racers (USA);Sony PlayStation;;2003;Mud Duck;Racing;;;;;;;;;;
