#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 Shitou - The Duel (Japan);007 Shitou - The Duel (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
16 Zhang Ma Jiang (China) (Unl);16 Zhang Ma Jiang (China) (Unl);Sega Mega Drive Japan;;;;;;;;;;;;;;
16t (Japan) (SegaNet);16t (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;Action;;;;;;;;16t;;
2020 Nen Super Baseball (Japan);2020 Nen Super Baseball (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
A Ressha de Ikou MD (Japan);A Ressha de Ikou MD (Japan);Sega Mega Drive Japan;;;Sega;Strategy;1;;;;;;;A-Ressha de Ikou MD;;
Aa Harimanada (Japan);Aa Harimanada (Japan);Sega Mega Drive Japan;;;ASK Co. Ltd.;Fighting;2;;;;;;;Aa Harimanada;;
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A);Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A);Sega Mega Drive Japan;;;Sega;Strategy;4;;;;;;;Advanced Daisenryaku: Deutsch Dengeki Sakusen;;
Air Management - Oozora ni Kakeru (Japan);Air Management - Oozora ni Kakeru (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Construction and Management Simulation, Strategy;4;;;;;;;Air Management: Oozora ni Kakeru;;
Air Management II - Koukuuou o Mezase (Japan);Air Management II - Koukuuou o Mezase (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Construction and Management Simulation, Strategy;4;;;;;;;Air Management II: Koukuu-Ou o Mezase;;
Alex Kidd - Tenkuu Majou (Japan);Alex Kidd - Tenkuu Majou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan);Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Strategy;;;;;;;;Aoki Ookami to Shiroki Mejika: Genchou Hishi;;
Aq Renkan Awa (China) (Unl);Aq Renkan Awa (China) (Unl);Sega Mega Drive Japan;;;C&E INC.;Puzzle;1;;;;;;;Aq Renkan Awa;;
Aworg (Japan) (SegaNet);Aworg (Japan) (SegaNet);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bad Omen (Japan, Korea);Bad Omen (Japan, Korea);Sega Mega Drive Japan;;;Sega, Sage's Creation, Inc., Hot-B Co., Ltd., Tec Toy Indústria de Brinquedos S.A., Samsung;Action;2;;;;;;;Bad Omen;;
Bahamut Senki (Japan);Bahamut Senki (Japan);Sega Mega Drive Japan;;;Sega;Strategy;;;;;;;;Bahamut Senki;;
Bare Knuckle III (Japan);Bare Knuckle III (Japan);Sega Mega Drive Japan;;;Sega;Action, Fighting;2;;;;;;;Bare Knuckle III;;
Barver Battle Saga - Tai Kong Zhan Shi (China) (Unl);Barver Battle Saga - Tai Kong Zhan Shi (China) (Unl);Sega Mega Drive Japan;;;;Role-Playing;;;;;;;;Barver Battle Saga: Tai Kong Zhan Shi;;
Battle Golfer Yui (Japan);Battle Golfer Yui (Japan);Sega Mega Drive Japan;;;Sega;Adventure, Sports;;;;;;;;Battle Golfer Yui;;
Beast Warriors (Japan);Beast Warriors (Japan);Sega Mega Drive Japan;;;Riot;Action, Fighting;1;;;;;;;Beast Warriors;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Sega Mega Drive Japan;;;Bandai Co., Ltd.;Action, Fighting;2;;;;;;;Bishoujo Senshi Sailor Moon;;
Blue Almanac (Japan);Blue Almanac (Japan);Sega Mega Drive Japan;;;Kodansha Ltd.;Role-Playing;;;;;;;;Blue Almanac;;
Bomboy (Taiwan) (Unl);Bomboy (Taiwan) (Unl);Sega Mega Drive Japan;;;Gamtech Software;Action;1;;;;;;;Bomboy;;
Boogie Woogie Bowling (Japan);Boogie Woogie Bowling (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Caesar no Yabou (Japan);Caesar no Yabou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Caesar no Yabou II (Japan);Caesar no Yabou II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Captain Lang (Japan) (En,Ja);Captain Lang (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Castle of Illusion - Fushigi no Oshiro Daibouken (Japan);Castle of Illusion - Fushigi no Oshiro Daibouken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Chameleon Kid (Japan);Chameleon Kid (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Chao Ji Da Fu Weng (China) (Unl);Chao Ji Da Fu Weng (China) (Unl);Sega Mega Drive Japan;;;Gamtech Software;Strategy;1;;;;;;;Chao Ji Da Fu Weng;;
Chelnov (Japan);Chelnov (Japan);Sega Mega Drive Japan;;;Data East Corporation;Shooter;2;;;;;;;Chelnov;;
