3D Ski (Europe) (Unl);3D Ski (Europe) (Unl);Atari ST;;1989;Wacko Software;Sports/Skiing;;;;;0;;;;;
Advanced Ski Simulator (Europe);Advanced Ski Simulator (Europe);Atari ST;;1989;Codemasters;Sports/Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);Arcade;alpine;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);Arcade;alpine;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);Final Burn Alpha;alpine;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Advance);alpine;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Advance);alpine;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Libretro);alpine;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Libretro);alpine;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Mame4all);alpine;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpinea;Alpine Ski (set 2);MAME (Mame4all);alpine;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);Arcade;;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);Arcade;;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);Final Burn Alpha;;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Advance);;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Advance);;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Libretro);;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Libretro);;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Mame4all);;1982;Taito Corporation;Sports / Skiing;;;;;0;;;;;
alpine;Alpine Ski (set 1);MAME (Mame4all);;1982;Taito Corporation;Sports/Skiing;;;;;0;;;;;
alpinerc;Alpine Racer (Rev. AR2 Ver.C);Arcade;alpinerd;1994;Namco;Sports / Skiing;;;;;0;;;;;
alpinerc;Alpine Racer (Rev. AR2 Ver.C);MAME (Advance);alpinerd;1994;Namco;Sports / Skiing;;;;;0;;;;;
alpinerc;Alpine Racer (Rev. AR2 Ver.C);MAME (Libretro);alpinerd;1994;Namco;Sports / Skiing;;;;;0;;;;;
alpinerc;Alpine Racer (Rev. AR2 Ver.C);MAME (Mame4all);alpinerd;1994;Namco;Sports / Skiing;;;;;0;;;;;
