11 A Side Soccer (Europe);11 A Side Soccer (Europe);Amstrad CPC;;1989;Codemasters;Sports/Soccer;;;;;0;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Amstrad CPC;;1991;Codemasters;Sports/Soccer;;;;;0;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Atari ST;;1992;Codemasters;Sports/Soccer;;;;;0;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Commodore 64;;1993;Codemasters;Sports/Soccer;;;;;0;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Sinclair ZX Spectrum;;1991;Codemasters;Sports/Soccer;;;;;0;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PlayStation;;2002;EA Sports;Sports/Soccer;;;;;0;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PSP;;2002;EA Sports;Sports/Soccer;;;;;0;;;;;
2 Player Soccer Squad (Europe);2 Player Soccer Squad (Europe);Amstrad CPC;;1986;Cult;Sports/Soccer;;;;;0;;;;;
2 Player Soccer Squad (Europe);2 Player Soccer Squad (Europe);Sinclair ZX Spectrum;;1991;Cult Games;Sports/Soccer;;;;;0;;;;;
2 Player Super League (Europe);2 Player Super League (Europe);Amstrad CPC;;1989;Cult;Sports/Soccer;;;;;0;;;;;
3-D Soccer (USA) (Unl);3-D Soccer (USA) (Unl);Atari ST;;1992;Ryan Simpson;Sports/Soccer;;;;;0;;;;;
4-4-2 Soccer (Europe);4-4-2 Soccer (Europe);Sony PlayStation;;1997;Virgin Interactive;Sports/Soccer;;;;;0;;;;;
4-4-2 Soccer (Europe);4-4-2 Soccer (Europe);Sony PSP;;1997;Virgin Interactive;Sports/Soccer;;;;;0;;;;;
4 Soccer Simulators (Europe);4 Soccer Simulators (Europe);Amstrad CPC;;1989;Codemasters;Sports/Soccer;;;;;0;;;;;
4 Soccer Simulators (Europe);4 Soccer Simulators (Europe);Commodore 64;;1989;Codemasters;Sports/Soccer;;;;;0;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes - European Prime Goal (Europe);Super Nintendo Entertainment System;;1995;Ocean;Sports/Soccer;;;;;0;;;;;
Actua Soccer 2 (Europe);Actua Soccer 2 (Europe);Sony PlayStation;;1997;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Actua Soccer 2 (Europe);Actua Soccer 2 (Europe);Sony PSP;;1997;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Actua Soccer 3 (Europe);Actua Soccer 3 (Europe);Sony PlayStation;;1998;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Actua Soccer 3 (Europe);Actua Soccer 3 (Europe);Sony PSP;;1998;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Actua Soccer - Club Edition (Europe);Actua Soccer - Club Edition (Europe);Sony PlayStation;;1997;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Actua Soccer - Club Edition (Europe);Actua Soccer - Club Edition (Europe);Sony PSP;;1997;Gremlin Interactive;Sports/Soccer;;;;;0;;;;;
Adidas Championship Football (Europe);Adidas Championship Football (Europe);Amstrad CPC;;1990;Ocean Software;Sports/Soccer;;;;;0;;;;;
Adidas Championship Football (Europe);Adidas Championship Football (Europe);Commodore 64;;1990;Ocean;Sports/Soccer;;;;;0;;;;;
Adidas Championship Football (Europe);Adidas Championship Football (Europe);Sinclair ZX Spectrum;;1990;Ocean Software;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer 2 (Europe);Adidas Power Soccer 2 (Europe);Sony PlayStation;;1998;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer 2 (Europe);Adidas Power Soccer 2 (Europe);Sony PSP;;1998;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer 98 (USA);Adidas Power Soccer 98 (USA);Sony PlayStation;;1998;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer 98 (USA);Adidas Power Soccer 98 (USA);Sony PSP;;1998;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer International '97 (Europe);Adidas Power Soccer International '97 (Europe);Sony PlayStation;;1997;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer International '97 (Europe);Adidas Power Soccer International '97 (Europe);Sony PSP;;1997;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer (USA);Adidas Power Soccer (USA);Sony PlayStation;;1996;Psygnosis;Sports/Soccer;;;;;0;;;;;
Adidas Power Soccer (USA);Adidas Power Soccer (USA);Sony PSP;;1996;Psygnosis;Sports/Soccer;;;;;0;;;;;
Advanced Soccer Simulator (Europe);Advanced Soccer Simulator (Europe);Sinclair ZX Spectrum;;1989;Mastertronic Plus;Sports/Soccer;;;;;0;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PlayStation;;2000;3DO;Sports/Soccer;;;;;0;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PSP;;2000;3DO;Sports/Soccer;;;;;0;;;;;
Alex Ferguson's Player Manager 2002 (Europe);Alex Ferguson's Player Manager 2002 (Europe);Sony PlayStation;;2002;Ubisoft;Sports/Soccer;;;;;0;;;;;
Alex Ferguson's Player Manager 2002 (Europe);Alex Ferguson's Player Manager 2002 (Europe);Sony PSP;;2002;Ubisoft;Sports/Soccer;;;;;0;;;;;
Alexi Lalas International Soccer (USA);Alexi Lalas International Soccer (USA);Sony PlayStation;;1999;Take-Two Interactive;Sports/Soccer;;;;;0;;;;;
Alexi Lalas International Soccer (USA);Alexi Lalas International Soccer (USA);Sony PSP;;1999;Take-Two Interactive;Sports/Soccer;;;;;0;;;;;
All Star Soccer (Europe);All Star Soccer (Europe);Sony PlayStation;;1997;Eidos Interactive;Sports/Soccer;;;;;0;;;;;
All Star Soccer (Europe);All Star Soccer (Europe);Sony PSP;;1997;Eidos Interactive;Sports/Soccer;;;;;0;;;;;
American Soccer (Japan);American Soccer (Japan);Microsoft MSX2;;1988;Nidecom Soft;Sports;;;;;0;;;;;
Amsoccer (Europe);Amsoccer (Europe);Amstrad CPC;;1986;IJK;Sports/Soccer;;;;;0;;;;;
Anstoss (Germany);Anstoss (Germany);Commodore 64;;1993;Stö-Soft;Sports/Soccer;;;;;0;;;;;
Aoki Densetsu Shoot! (Japan);Aoki Densetsu Shoot! (Japan);Nintendo Super Famicom;;1994;Affect;Sports/Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);Arcade;;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);Final Burn Alpha;;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Advance);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Libretro);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
ar_socc;World Trophy Soccer (Arcadia, V 3.0);MAME (Mame4all);;1989;Arcadia Systems;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;Arcade;idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;Final Burn Alpha;idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Advance);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Libretro);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
asoccer;American Soccer;MAME (Mame4all);idsoccer;1987;Universal;Sports / Soccer;;;;;0;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Sega Genesis;;1993;ASCII Entertainment;Sports/Soccer;;;;;0;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;2001;Infogrames;Sports/Soccer;;;;;0;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PSP;;2001;Infogrames;Sports/Soccer;;;;;0;;;;;
Battle Soccer 2 (Japan);Battle Soccer 2 (Japan);Nintendo Super Famicom;;1994;Pandora Box;Sports/Soccer;;;;;0;;;;;
Battle Soccer - Field no Hasha (Japan) (Translated En);Battle Soccer - Field no Hasha (Japan) (Translated En);Nintendo Super Famicom;;1992;Pandora Box;Sports/Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);Arcade;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);Final Burn Alpha;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Advance);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Libretro);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleag;Best League (bootleg of Big Striker, Italian Serie A);MAME (Mame4all);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);Arcade;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);Final Burn Alpha;bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Advance);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Libretro);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
bestleaw;Best League (bootleg of Big Striker, World Cup);MAME (Mame4all);bigstrik;1993;bootleg;Sports / Soccer;;;;;0;;;;;
Big League Soccer 2 (Europe);Big League Soccer 2 (Europe);Amstrad CPC;;1985;Viper;Sports/Soccer;;;;;0;;;;;
Big League Soccer (Europe);Big League Soccer (Europe);Amstrad CPC;;1985;Viper;Sports/Soccer;;;;;0;;;;;
Big Match Soccer (Europe);Big Match Soccer (Europe);Sinclair ZX Spectrum;;1983;Wintersoft;Sports/Soccer;;;;;0;;;;;
bigstrik;Big Striker;Arcade;;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;Final Burn Alpha;;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Advance);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Libretro);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrik;Big Striker;MAME (Mame4all);;1992;Jaleco;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);Arcade;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);Final Burn Alpha;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Advance);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Libretro);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkba;Big Striker (bootleg w/Italian teams);MAME (Mame4all);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);Arcade;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);Final Burn Alpha;bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Advance);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Libretro);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
bigstrkb;Big Striker (bootleg);MAME (Mame4all);bigstrik;1992;bootleg;Sports / Soccer;;;;;0;;;;;
Block Soccer (USA) (Unl);Block Soccer (USA) (Unl);Commodore 64;;2007;Manic Mailman Designs (MMD);Sports/Soccer;;;;;0;;;;;
