#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan);Sony PlayStation;;;;;;;;;;;;;
Airgrave (Japan);Airgrave (Japan);Sony PlayStation;;1996;Santos;Shooter;2;;;;;;;;
Bokan to Ippatsu! Doronbo - Time Bokan Shirizu (Japan);Bokan to Ippatsu! Doronbo - Time Bokan Shirizu (Japan);Sony PlayStation;;;;;;;;;;;;;
Capcom Generations - The First Generation (Europe);Capcom Generations - The First Generation (Europe);Sony PlayStation;;;;;;;;;;;;;
Choaniki - Kyuukyoku Muteki Ginga Saikyou Otoko (Japan);Choaniki - Kyuukyoku Muteki Ginga Saikyou Otoko (Japan);Sony PlayStation;;1995;Nippon Computer Systems;Shooter;1;;;;;;;;
Cotton 100% (Japan);Cotton 100% (Japan);Sony PlayStation;;;;;;;;;;;;;
Cotton Original - Fantastic Night Dreams (Japan);Cotton Original - Fantastic Night Dreams (Japan);Sony PlayStation;;;;;;;;;;;;;
Darius Gaiden (Japan);Darius Gaiden (Japan);Sony PlayStation;;;BEC;Shooter;;;;;;;;;
Dezaemon Plus (Japan);Dezaemon Plus (Japan);Sony PlayStation;;;;;;;;;;;;;
Do Don Pachi (Japan);Do Don Pachi (Japan);Sony PlayStation;;;;;;;;;;;;;
Donpachi (Japan);Donpachi (Japan);Sony PlayStation;;1996;Atlus;Shooter;2;;;;;;;;
Einhander (USA);Einhander (USA);Sony PlayStation;;1998;Sony Computer Entertainment;Shooter;1;;;;;;;;
G. Darius (USA);G. Darius (USA);Sony PlayStation;;1998;THQ;Shooter;1;;;;;;;;
Gaia Seed (Japan);Gaia Seed (Japan);Sony PlayStation;;;;;;;;;;;;;
Galaga - Destination Earth (USA);Galaga - Destination Earth (USA);Sony PlayStation;;2000;Hasbro;Shooter;2;;;;;;;;
Gekioh - Shooting King (USA);Gekioh - Shooting King (USA);Sony PlayStation;;2002;Natsume;Shooter;2;;;;;;;;
Gradius Deluxe Pack (Japan);Gradius Deluxe Pack (Japan);Sony PlayStation;;1996;Konami;Shooter;2;;;;;;;;
Gradius Gaiden (Japan);Gradius Gaiden (Japan);Sony PlayStation;;1997;Konami;Shooter;;;;;;;;;
Gunbare! The Game Paradise 2 (Japan);Gunbare! The Game Paradise 2 (Japan);Sony PlayStation;;;;;;;;;;;;;
Gunbird (Japan);Gunbird (Japan);Sony PlayStation;;;;;;;;;;;;;
Harmful Park (Japan);Harmful Park (Japan);Sony PlayStation;;1997;Sky Think Systems;Shooter;2;;;;;;;;
Image Fight and X-Multiply - Arcade Gears (Japan);Image Fight and X-Multiply - Arcade Gears (Japan);Sony PlayStation;;;;;;;;;;;;;
