#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
2Xtreme (USA);2Xtreme (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
3D Lemmings;3D Lemmings;Sony PlayStation;;;;;;;;;;;;;;;;;;
ATV Racers;ATV Racers;Sony PlayStation;;;;;;;;;;;;;;;;;;
Ace Combat 3 - Electrosphere (USA);Ace Combat 3 - Electrosphere (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Aces of the Air;Aces of the Air;Sony PlayStation;;;;;;;;;;;;;;;;;;
Actua Soccer;Actua Soccer;Sony PlayStation;;;;;;;;;;;;;;;;;;
Advan Racing;Advan Racing;Sony PlayStation;;;;;;;;;;;;;;;;;;
Adventures of Lomax;Adventures of Lomax;Sony PlayStation;;;;;;;;;;;;;;;;;;
Agent Armstrong;Agent Armstrong;Sony PlayStation;;;;;;;;;;;;;;;;;;
Agile Warrior - F-111X (USA);Agile Warrior - F-111X (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Air Hockey (USA);Air Hockey (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
AirRace Championship (Japan);AirRace Championship (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Airgrave;Airgrave;Sony PlayStation;;;;;;;;;;;;;;;;;;
Alfred Chicken (Europe) (En,Fr,De,Es,It);Alfred Chicken (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;;;;;
Alien Trilogy;Alien Trilogy;Sony PlayStation;;;;;;;;;;;;;;;;;;
All Star Racing (USA);All Star Racing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Amazing Virtual Sea-Monkeys, The (USA) (En,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Aquanaut's Holiday (USA);Aquanaut's Holiday (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Arkanoid R 2000 (Jpn);Arkanoid R 2000 (Jpn);Sony PlayStation;;;;;;;;;;;;;;;;;;
Armed Fighter (Japan);Armed Fighter (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Assault Retribution;Assault Retribution;Sony PlayStation;;;;;;;;;;;;;;;;;;
Assault Rigs (USA);Assault Rigs (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Asterix - Mega Madness;Asterix - Mega Madness;Sony PlayStation;;;;;;;;;;;;;;;;;;
Asteroids (USA);Asteroids (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Autobahn Raser II (Germany);Autobahn Raser II (Germany);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ballistic (USA);Ballistic (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Barbie - Super Sports (USA);Barbie - Super Sports (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman Forever - The Arcade Game (USA);Batman Forever - The Arcade Game (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden;Battle Arena Toshinden;Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden 2;Battle Arena Toshinden 2;Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden 3 (USA) (En,Ja);Battle Arena Toshinden 3 (USA) (En,Ja);Sony PlayStation;;;;;;;;;;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Beyond the Beyond;Beyond the Beyond;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blam! Machinehead;Blam! Machinehead;Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Chamber (USA);Blast Chamber (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Radius (USA);Blast Radius (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blaster Master - Blasting Again (USA);Blaster Master - Blasting Again (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Block Kuzushi 2;Block Kuzushi 2;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bloody Roar;Bloody Roar;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bloody Roar II;Bloody Roar II;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bogey - Dead 6 (USA);Bogey - Dead 6 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman - Party Edition (USA);Bomberman - Party Edition (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman Fantasy Race;Bomberman Fantasy Race;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman Wars;Bomberman Wars;Sony PlayStation;;;;;;;;;;;;;;;;;;
Bombing Islands, The (USA);Bombing Islands, The (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bravo Air Race (USA);Bravo Air Race (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brigandine - The Legend of Forsena (USA);Brigandine - The Legend of Forsena (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brightis (Japan);Brightis (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bubble Bobble Also Featuring Rainbow Islands (USA);Bubble Bobble Also Featuring Rainbow Islands (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Burning Road (USA);Burning Road (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust-A-Move 4;Bust-A-Move 4;Sony PlayStation;;;;;;;;;;;;;;;;;;
Buster Bros. Collection (USA);Buster Bros. Collection (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
C - The Contra Adventure (USA);C - The Contra Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
C-12 - Final Resistance (USA);C-12 - Final Resistance (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
CT Special Forces (Europe);CT Special Forces (Europe);Sony PlayStation;;;;;;;;;;;;;;;;;;
CT Special Forces - Back To Hell (Europe) (En,Fr,De,Es,It,Nl);CT Special Forces - Back To Hell (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;;;;;;;;;;;;;;;;;
CT Special Forces 3 - Bioterror (Europe);CT Special Forces 3 - Bioterror (Europe);Sony PlayStation;;;;;;;;;;;;;;;;;;
Card Games (USA);Card Games (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Cardinal Syn;Cardinal Syn;Sony PlayStation;;;;;;;;;;;;;;;;;;
Casper (USA);Casper (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Castlevania - Symphony of the Night (USA);Castlevania - Symphony of the Night (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Castlevania Chronicles (USA);Castlevania Chronicles (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Castrol Honda Superbike Racing;Castrol Honda Superbike Racing;Sony PlayStation;;;;;;;;;;;;;;;;;;
Championship Surfer (USA);Championship Surfer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Chaos Break;Chaos Break;Sony PlayStation;;;;;;;;;;;;;;;;;;
Cheesy;Cheesy;Sony PlayStation;;;;;;;;;;;;;;;;;;
Chessmaster 3D;Chessmaster 3D;Sony PlayStation;;;;;;;;;;;;;;;;;;
Chippoke Ralph no Daibouken - The Adventure of Little Ralph (Japan);Chippoke Ralph no Daibouken - The Adventure of Little Ralph (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Chocobo Racing;Chocobo Racing;Sony PlayStation;;;;;;;;;;;;;;;;;;
Chris Kamara's Street Soccer (Europe);Chris Kamara's Street Soccer (Europe);Sony PlayStation;;;;;;;;;;;;;;;;;;
City of Lost Children;City of Lost Children;Sony PlayStation;;;;;;;;;;;;;;;;;;
Clock Tower (USA);Clock Tower (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Codename - Tenka (USA);Codename - Tenka (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Colony Wars (USA);Colony Wars (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Command & Conquer;Command & Conquer;Sony PlayStation;;;;;;;;;;;;;;;;;;
Contender 2 (USA);Contender 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Contra - Legacy of War;Contra - Legacy of War;Sony PlayStation;;;;;;;;;;;;;;;;;;
Cool Boarders 2;Cool Boarders 2;Sony PlayStation;;;;;;;;;;;;;;;;;;
Cotton 100% (Japan);Cotton 100% (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Cowboy Bebop (Japan);Cowboy Bebop (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Crash Bandicoot 2 Cortex Strikes Back;Crash Bandicoot 2 Cortex Strikes Back;Sony PlayStation;;;;;;;;;;;;;;;;;;
Crash Bash (USA);Crash Bash (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Creatures - Raised in Space (USA);Creatures - Raised in Space (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Critical Blow (Japan);Critical Blow (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Croket! Kindan no Kinka Box! (Japan);Croket! Kindan no Kinka Box! (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Crossroad Crisis (USA);Crossroad Crisis (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
CyberSled;CyberSled;Sony PlayStation;;;;;;;;;;;;;;;;;;
Cyberbots - Full Metal Madness (Japan);Cyberbots - Full Metal Madness (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Danger Girl;Danger Girl;Sony PlayStation;;;;;;;;;;;;;;;;;;
Darklight Conflict;Darklight Conflict;Sony PlayStation;;;;;;;;;;;;;;;;;;
Darkstalkers - The Night Warriors (USA);Darkstalkers - The Night Warriors (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Dave Mirra Freestyle BMX - Maximum Remix (USA);Dave Mirra Freestyle BMX - Maximum Remix (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
David Beckham Soccer;David Beckham Soccer;Sony PlayStation;;;;;;;;;;;;;;;;;;
Dead in the Water;Dead in the Water;Sony PlayStation;;;;;;;;;;;;;;;;;;
Dead or Alive (USA);Dead or Alive (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Delta Force Urban Warfare (USA) (En,Fr,Es);Delta Force Urban Warfare (USA) (En,Fr,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
Descent (USA);Descent (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Destrega;Destrega;Sony PlayStation;;;;;;;;;;;;;;;;;;
Destruction Derby;Destruction Derby;Sony PlayStation;;;;;;;;;;;;;;;;;;
Destruction Derby RAW;Destruction Derby RAW;Sony PlayStation;;;;;;;;;;;;;;;;;;
Detana Twinbee Yahho! Deluxe Pack (Japan);Detana Twinbee Yahho! Deluxe Pack (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Devil Dice;Devil Dice;Sony PlayStation;;;;;;;;;;;;;;;;;;
Die Hard Trilogy;Die Hard Trilogy;Sony PlayStation;;;;;;;;;;;;;;;;;;
Digimon Rumble Arena;Digimon Rumble Arena;Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney's 101 Dalmatians II - Patch's London Adventure (USA);Disney's 101 Dalmatians II - Patch's London Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney's 102 Dalmatians - Puppies to the Rescue (USA);Disney's 102 Dalmatians - Puppies to the Rescue (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney's Tarzan (USA);Disney's Tarzan (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney's Treasure Planet (USA);Disney's Treasure Planet (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney's Winnie the Pooh - Kindergarten (USA);Disney's Winnie the Pooh - Kindergarten (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney-Pixar Buzz Lightyear of Star Command (USA);Disney-Pixar Buzz Lightyear of Star Command (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney-Pixar Toy Story Racer (USA);Disney-Pixar Toy Story Racer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Disney-Pixar's Toy Story 2 - Buzz Lightyear to the Rescue!;Disney-Pixar's Toy Story 2 - Buzz Lightyear to the Rescue!;Sony PlayStation;;;;;;;;;;;;;;;;;;
Disneys Hercules;Disneys Hercules;Sony PlayStation;;;;;;;;;;;;;;;;;;
DoDonPachi (Japan);DoDonPachi (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
DonPachi (Japan);DonPachi (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Double Dragon;Double Dragon;Sony PlayStation;;;;;;;;;;;;;;;;;;
Dragon Ball GT - Final Bout (USA);Dragon Ball GT - Final Bout (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Dragstars (Europe);Dragstars (Europe);Sony PlayStation;;;;;;;;;;;;;;;;;;
Driver;Driver;Sony PlayStation;;;;;;;;;;;;;;;;;;
Ducati World - Racing Challenge (USA);Ducati World - Racing Challenge (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
E.T. the Extra-Terrestrial - Interplanetary Mission (USA);E.T. the Extra-Terrestrial - Interplanetary Mission (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
