Pepsi Invaders - Coke Wins (USA);Pepsi Invaders - Coke Wins (USA);Atari 2600;Space Invaders (USA);1983;Atari;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders '91 (USA);Space Invaders '91 (USA);Sega Genesis;;1991;Taito;Shooter;;;;;0;;;;;
Space Invaders (Budgie UK) (Europe) (Unl);Space Invaders (Budgie UK) (Europe) (Unl);Atari ST;;1990;Budgie UK;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (Europe);Space Invaders (Europe);Amstrad CPC;;1985;Design Design;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Bandai WonderSwan;;1999;SunSoft;Shooter;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Nintendo Famicom;;1985;Taito Corporation;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Nintendo Game Boy;;2000;Taito Corporation;Shooter;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Sega SG-1000;;1985;Sega;Shooter;;;;;0;;;;;
Space Invaders (Sinister Developments) (Europe) (Unl);Space Invaders (Sinister Developments) (Europe) (Unl);Atari ST;;1993;Sinister Developments;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Atari 2600;;1980;Atari;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Atari 5200;;1982;Atari;Shooter;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Commodore 64;;1983;Keypunch Software;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Nintendo 64;;1999;Activision;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Nintendo Game Boy Color;;1999;Activision;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Nintendo Game Boy;;1999;Activision;Beat-'Em-Up;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Sony PSP;;1999;Activision;Shooter;;;;;0;;;;;
Space Invaders (USA);Space Invaders (USA);Sony PlayStation;;1999;Activision;Shooter;;;;;0;;;;;
Space Invaders (USA, Europe);Space Invaders (USA, Europe);Nintendo Game Boy Advance;;2002;Activision;Shoot-'Em-Up;;;;;0;;;;;
Space Invaders - Fukkatsu no Hi (Japan);Space Invaders - Fukkatsu no Hi;NEC PC Engine;;;;;;;;;0;;;;;
Space Invaders - The Original Game (Japan);Space Invaders - The Original Game (Japan);NEC PC Engine-CD;;1995;NEC Avenue;Action;;;;;0;;;;;
Space Invaders - The Original Game (USA);Space Invaders - The Original Game (USA);Super Nintendo Entertainment System;;1997;Nintendo;Shooter;;;;;0;;;;;
Space Invaders - Virtual Collection (Japan);Space Invaders - Virtual Collection (Japan);Nintendo Virtual Boy;;1995;Taito;Shooter;;;;;0;;;;;
Space Invaders Extreme (USA) (En,Ja,Fr,De,Es,It);Space Invaders Extreme;Nintendo DS;;;;;;;;;0;;;;;
Space Invaders Extreme 2 (USA) (En,Ja,Fr,De,Es,It);Space Invaders Extreme 2;Nintendo DS;;;;;;;;;0;;;;;
Space Invaders Revolution (USA) (En,Fr,De,Es,It);Space Invaders Revolution;Nintendo DS;;;;;;;;;0;;;;;
Space_Invaders_(SC-3000);Space Invaders;SegaSC-3000;;1985;Taito;shooter;;;;;0;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);Amstrad CPC;;1991;Domark;Shoot-'Em-Up;;;;;0;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);Atari ST;;1991;Domark;Shoot-'Em-Up;;;;;0;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);Commodore 64;;1991;Domark/Taito;Shoot-'Em-Up;;;;;0;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);Sega Master System;;1991;Domark;Shooter;;;;;0;;;;;
Super Space Invaders (Europe);Super Space Invaders (Europe);Sinclair ZX Spectrum;;1991;Domark;Shooter;;;;;0;;;;;
Super Space Invaders (USA, Europe);Super Space Invaders (USA, Europe);Sega Game Gear;;1993;Domark;Shooter;;;;;0;;;;;
SuperSpaceInvaders_v1.2;Super Space Invaders;Commodore Amiga;;;;;;;;;0;;;;;
darthvdr;Darth Vader (bootleg of Space Invaders);Arcade;invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
darthvdr;Darth Vader (bootleg of Space Invaders);MAME (Advance);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
darthvdr;Darth Vader (bootleg of Space Invaders);MAME (Libretro);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
darthvdr;Darth Vader (bootleg of Space Invaders);MAME (Mame4all);invaders;1978;bootleg;Shooter / Gallery;;;;;0;;;;;
enigma2a;Enigma II (Space Invaders hardware);Arcade;enigma2;1984;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2a;Enigma II (Space Invaders hardware);MAME (Advance);enigma2;1984;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2a;Enigma II (Space Invaders hardware);MAME (Libretro);enigma2;1984;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2a;Enigma II (Space Invaders hardware);MAME (Mame4all);enigma2;1984;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2b;Phantoms II (Space Invaders hardware);Arcade;enigma2;1981;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2b;Phantoms II (Space Invaders hardware);MAME (Advance);enigma2;1981;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2b;Phantoms II (Space Invaders hardware);MAME (Libretro);enigma2;1981;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
enigma2b;Phantoms II (Space Invaders hardware);MAME (Mame4all);enigma2;1981;Zilec Electronics;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiaj hack) [Hack];Final Burn Alpha;galaxian;1979;hack;;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);Arcade;galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Advance);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Libretro);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galap1;Space Invaders Galactica (galaxiana hack);MAME (Mame4all);galaxian;1979;hack;Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);Arcade;invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Advance);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Libretro);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
galmonst;Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders);MAME (Mame4all);invaders;1978;bootleg (Laguna S.A.);Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);Arcade;;1980;Midway;Shooter / Gallery;;;;;0;;;;;
invad2ct;Space Invaders II (Midway, cocktail);MAME (Advance);;1980;Midway;Shooter / Gallery;;;;;0;;;;;
