Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Nintendo Game Boy Advance;;2004;Majesco Games;Miscellaneous;;;;;0;;;;;
TMNT (USA) (En,Fr,Es);TMNT (USA) (En,Fr,Es);Nintendo Game Boy Advance;;2007;Ubisoft;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 1 Side A);Teenage Mutant Ninja Turtles (USA) (Disk 1 Side A);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 1 Side B);Teenage Mutant Ninja Turtles (USA) (Disk 1 Side B);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 2 Side A);Teenage Mutant Ninja Turtles (USA) (Disk 2 Side A);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA) (Disk 2 Side B);Teenage Mutant Ninja Turtles (USA) (Disk 2 Side B);Commodore 64;;1990;Ultra Software/Konami;Action;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo Entertainment System;;1989;Ultra;Platform;;;;;0;;;;;
Teenage Mutant Ninja Turtles (USA);Teenage Mutant Ninja Turtles (USA);Nintendo Game Boy Advance;;2003;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA);Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA);Nintendo Game Boy;;1990;Ultra Soft;Platform;;;;;0;;;;;
Teenage Mutant Ninja Turtles - The Arcade Game (USA) (Disk 1 Side A);Teenage Mutant Ninja Turtles - The Arcade Game (USA) (Disk 1 Side A);Commodore 64;;1991;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles - The Arcade Game (USA) (Disk 1 Side B);Teenage Mutant Ninja Turtles - The Arcade Game (USA) (Disk 1 Side B);Commodore 64;;1991;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA);Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA);Sega Genesis;;1992;Konami;Beat-'Em-Up;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Nintendo Entertainment System;;1994;Konami;Fighter;;;;;0;;;;;
Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Sega Genesis;;1993;Konami;Fighter;;;;;0;;;;;
