1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
2D Tennis Game (Europe);2D Tennis Game (Europe);Commodore 64;;1987;Wicked Software;Sports/Tennis;;;;;0;;;;;
3D Tennis (Japan);3D Tennis (Japan);Microsoft MSX;;;;;;;;;0;;;;;
40love;Forty-Love;Arcade;;1984;Taito Corporation;Sports / Tennis;;;;;0;;;;;
40love;Forty-Love;Arcade;;1984;Taito Corporation;Sports/Tennis;;;;;0;;;;;
40love;Forty-Love;Final Burn Alpha;;1984;Taito Corporation;Sports/Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Advance);;1984;Taito Corporation;Sports / Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Advance);;1984;Taito Corporation;Sports/Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Libretro);;1984;Taito Corporation;Sports / Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Libretro);;1984;Taito Corporation;Sports/Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Mame4all);;1984;Taito Corporation;Sports / Tennis;;;;;0;;;;;
40love;Forty-Love;MAME (Mame4all);;1984;Taito Corporation;Sports/Tennis;;;;;0;;;;;
Ace o Nerae! (Japan) (Translated En);Ace o Nerae! (Japan) (Translated En);Nintendo Super Famicom;;1993;Nippon Telenet;Sports/Tennis;;;;;0;;;;;
Actua Tennis (Europe);Actua Tennis (Europe);Sony PlayStation;;1998;Gremlin Interactive;Sports/Tennis;;;;;0;;;;;
Actua Tennis (Europe);Actua Tennis (Europe);Sony PSP;;1998;Gremlin Interactive;Sports/Tennis;;;;;0;;;;;
Adidas Championship Tie-Break (Europe);Adidas Championship Tie-Break (Europe);Amstrad CPC;;1990;Ocean Software;Sports/Tennis;;;;;0;;;;;
Adidas Championship Tie Break (Europe);Adidas Championship Tie Break (Europe);Atari ST;;1990;Starbyte;Sports/Tennis;;;;;0;;;;;
Adidas Championship Tie Break (Europe);Adidas Championship Tie Break (Europe);Commodore 64;;1990;Ocean/Starbyte Software;Sports/Tennis;;;;;0;;;;;
Adidas Championship Tie-Break (Europe);Adidas Championship Tie-Break (Europe);Sinclair ZX Spectrum;;1990;Ocean Software;Sports/Tennis;;;;;0;;;;;
Advantage Tennis (Europe);Advantage Tennis (Europe);Atari ST;;1991;Infogrames;Sports/Tennis;;;;;0;;;;;
AdvantageTennis_v1.0;Advantage Tennis;Commodore Amiga;;;;;;;;;0;;;;;
agassi;Andre Agassi Tennis (Euro);Final Burn Alpha;;1992;TecMagik;;;;;;0;;;;;
Agassi Tennis Generation (USA);Agassi Tennis Generation (USA);Nintendo Game Boy Advance;;2003;Cryo Interactive;Sports/Tennis;;;;;0;;;;;
agassiu;Andre Agassi Tennis (USA);Final Burn Alpha;agassi;1992;TecMagik;;;;;;0;;;;;
agassiup;Andre Agassi Tennis (USA, Prototype);Final Burn Alpha;agassi;1992;TecMagik;;;;;;0;;;;;
All Star Tennis 2000 (Europe);All Star Tennis 2000 (Europe);Nintendo Game Boy Color;;1999;Ubisoft;Sports;;;;;0;;;;;
All-Star Tennis 2000 (Europe);All-Star Tennis 2000 (Europe);Sony PlayStation;;2000;Ubisoft;Sports/Tennis;;;;;0;;;;;
All-Star Tennis 2000 (Europe);All-Star Tennis 2000 (Europe);Sony PSP;;2000;Ubisoft;Sports/Tennis;;;;;0;;;;;
All-Star Tennis '99 (Europe);All-Star Tennis '99 (Europe);Sony PlayStation;;1998;Ubisoft;Sports/Tennis;;;;;0;;;;;
All-Star Tennis '99 (Europe);All-Star Tennis '99 (Europe);Sony PSP;;1998;Ubisoft;Sports/Tennis;;;;;0;;;;;
All Star Tennis '99 (USA);All Star Tennis '99 (USA);Nintendo 64;;1999;Ubisoft;Sports/Tennis;;;;;0;;;;;
amaznten;David Crane's Amazing Tennis (USA);Final Burn Alpha;;1992;Absolute Entertainment;;;;;;0;;;;;
Andre Agassi Tennis (Europe);Andre Agassi Tennis (Europe);Sega Master System;;1993;Sega;Sports/Tennis;;;;;0;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Sega Game Gear;;1994;Sega;Sports/Tennis;;;;;0;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Sega Genesis;;1992;TecMagik;Sports/Tennis;;;;;0;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Super Nintendo Entertainment System;;1994;TecMagik;Sports/Tennis;;;;;0;;;;;
Anna Kournikova's Smash Court Tennis (Europe);Anna Kournikova's Smash Court Tennis (Europe);Sony PlayStation;;1999;Namco;Sports/Tennis;;;;;0;;;;;
Anna Kournikova's Smash Court Tennis (Europe);Anna Kournikova's Smash Court Tennis (Europe);Sony PSP;;1999;Namco;Sports/Tennis;;;;;0;;;;;
atptour;ATP Tour Championship Tennis (Euro);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);Sega Genesis;;1994;Sega;Sports/Tennis;;;;;0;;;;;
atptourp1;ATP Tour Championship Tennis (Prototype, 19940908);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp2;ATP Tour Championship Tennis (Prototype, 19940808);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp3;ATP Tour Championship Tennis (Prototype, 19940805);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp4;ATP Tour Championship Tennis (Prototype, 19940802);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp5;ATP Tour Championship Tennis (Prototype, 19940723);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp6;ATP Tour Championship Tennis (Prototype, 19940719);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptourp7;ATP Tour Championship Tennis (Prototype, 19940509);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
atptouru;ATP Tour Championship Tennis (USA);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
Baby Felix Tennis (Europe);Baby Felix Tennis (Europe);Sony PlayStation;;2002;LSP;Sports/Tennis;;;;;0;;;;;
Baby Felix Tennis (Europe);Baby Felix Tennis (Europe);Sony PSP;;2002;LSP;Sports/Tennis;;;;;0;;;;;
Battle Ping Pong (Japan);Battle Ping Pong (Japan);Nintendo Game Boy;;1990;Quest;Sports/Tennis;;;;;0;;;;;
Boku no Tennis Jinsei (Japan);Boku no Tennis Jinsei (Japan);Sega Dreamcast;;2001;Bimboosoft;Sports/Tennis;;;;;0;;;;;
Break Point (Europe);Break Point (Europe);Sony PlayStation;;1996;Ocean;Sports/Tennis;;;;;0;;;;;
Break Point (Europe);Break Point (Europe);Sony PSP;;1996;Ocean;Sports/Tennis;;;;;0;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions (USA);Super Nintendo Entertainment System;;1997;Black Pearl;Sports/Tennis;;;;;0;;;;;
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);Arcade;passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);MAME (Advance);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);MAME (Libretro);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);MAME (Mame4all);passsht;1988;Sega;Sports / Tennis;;;;;0;;;;;
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Amstrad CPC;;1985;Amsoft;Sports/Tennis;;;;;0;;;;;
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Nintendo 64;;1999;BigBen Interactive;Sports/Tennis;;;;;0;;;;;
Champion Tennis (Japan);Champion Tennis (Japan);Sega SG-1000;;1983;Sega;Sports/Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);Arcade;;1982;Data East Corporation;Sports / Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);Arcade;;1982;Data East Corporation;Sports/Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);Final Burn Alpha;;1982;Data East Corporation;Sports/Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Advance);;1982;Data East Corporation;Sports / Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Advance);;1982;Data East Corporation;Sports/Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Libretro);;1982;Data East Corporation;Sports / Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Libretro);;1982;Data East Corporation;Sports/Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Mame4all);;1982;Data East Corporation;Sports / Tennis;;;;;0;;;;;
cptennis;Pro Tennis (DECO Cassette);MAME (Mame4all);;1982;Data East Corporation;Sports/Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);Arcade;;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);Arcade;;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);Final Burn Alpha;;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Advance);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Advance);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Libretro);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Libretro);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Mame4all);;1983;Data East Corporation;Sports / Tennis;;;;;0;;;;;
csdtenis;Super Doubles Tennis (DECO Cassette, Japan);MAME (Mame4all);;1983;Data East Corporation;Sports/Tennis;;;;;0;;;;;
Date Kimiko no Virtual Tennis (Japan);Date Kimiko no Virtual Tennis (Japan);Nintendo Super Famicom;;1994;Jorudan;Sports/Tennis;;;;;0;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);Sega Genesis;;1992;Absolute Entertainment;Sports/Tennis;;;;;0;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);Super Nintendo Entertainment System;;1992;Absolute Entertainment;Sports/Tennis;;;;;0;;;;;
daviscp2;Davis Cup World Tour Tennis 2 (Prototype 1);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
Davis Cup Complete Tennis (Europe);Davis Cup Complete Tennis (Europe);Sony PlayStation;;1996;Telstar;Sports/Tennis;;;;;0;;;;;
Davis Cup Complete Tennis (Europe);Davis Cup Complete Tennis (Europe);Sony PSP;;1996;Telstar;Sports/Tennis;;;;;0;;;;;
Davis Cup Tennis, The (Japan);Davis Cup Tennis, The (Japan);NEC PC Engine-CD;;1992;Microworld;Sports/Tennis;;;;;0;;;;;
Davis Cup Tennis (USA);Davis Cup Tennis (USA);NEC TurboGrafx-16;;1991;NEC;Sports/Tennis;;;;;0;;;;;
Davis Cup Tennis (USA, Europe);Davis Cup Tennis (USA, Europe);Sega Genesis;;1993;Loriciels;Sports/Tennis;;;;;0;;;;;
Davis Cup (USA) (En,Fr,De,Es,It);Davis Cup (USA) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2002;Ubisoft;Sports/Tennis;;;;;0;;;;;
Droopy's Tennis Open (Europe) (En,Fr,De,Es,It,Nl);Droopy's Tennis Open (Europe) (En,Fr,De,Es,It,Nl);Nintendo Game Boy Advance;;2002;LSP;Sports/Tennis;;;;;0;;;;;
Emilio Sanchez Vicario Grand Slam (Spain);Emilio Sanchez Vicario Grand Slam (Spain);Amstrad CPC;;1989;Zigurat;Sports/Tennis;;;;;0;;;;;
Emilio Sanchez Vicario Grand Slam (Spain);Emilio Sanchez Vicario Grand Slam (Spain);Sinclair ZX Spectrum;;1989;Zigurat Software;Sports/Tennis;;;;;0;;;;;
Family Tennis (Japan) (Translated En);Family Tennis (Japan) (Translated En);Nintendo Famicom;;1987;Namco;Sports/Tennis;;;;;0;;;;;
Final Match Tennis (Japan);Final Match Tennis;NEC PC Engine;;;;;;;;;0;;;;;
finalmt;Final Match Tennis;Final Burn Alpha;;1991;Human;;;;;;0;;;;;
Finalset (Japan);Finalset (Japan);Nintendo Super Famicom;;1993;Open System;Sports/Tennis;;;;;0;;;;;
Final Tennis (Europe);Final Tennis (Europe);Commodore 64;;1989;CP Verlag/Game On;Sports/Tennis;;;;;0;;;;;
GP Tennis Manager (Italy);GP Tennis Manager (Italy);Commodore 64;;1990;Simulmondo;Sports/Tennis;;;;;0;;;;;
Grand Prix Tennis (Europe);Grand Prix Tennis (Europe);Amstrad CPC;;1988;Mastertronic;Sports/Tennis;;;;;0;;;;;
Grand Prix Tennis (Europe);Grand Prix Tennis (Europe);Sinclair ZX Spectrum;;1988;Mastertronic Added Dimension;Sports/Tennis;;;;;0;;;;;
grandsl;GrandSlam - The Tennis Tournament (Euro);Final Burn Alpha;;1992;Sega;;;;;;0;;;;;
grandslj;GrandSlam - The Tennis Tournament '92 (Jpn);Final Burn Alpha;grandsl;1992;Nihon Telenet;;;;;;0;;;;;
Great Courts 2 (Europe);Great Courts 2 (Europe);Atari ST;;1990;UBI Soft;Sports/Tennis;;;;;0;;;;;
Great Courts (Europe);Great Courts (Europe);Atari ST;;1989;UBI Soft;Sports/Tennis;;;;;0;;;;;
hstennis10;Hot Shots Tennis (V1.0);Arcade;hstennis;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis10;Hot Shots Tennis (V1.0);Final Burn Alpha;hstennis;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis10;Hot Shots Tennis (V1.0);MAME (Advance);hstennis;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis10;Hot Shots Tennis (V1.0);MAME (Libretro);hstennis;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis10;Hot Shots Tennis (V1.0);MAME (Mame4all);hstennis;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis;Hot Shots Tennis (V1.1);Arcade;;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis;Hot Shots Tennis (V1.1);Final Burn Alpha;;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis;Hot Shots Tennis (V1.1);MAME (Advance);;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis;Hot Shots Tennis (V1.1);MAME (Libretro);;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
hstennis;Hot Shots Tennis (V1.1);MAME (Mame4all);;1990;Strata/Incredible Technologies;Sports / Tennis;;;;;0;;;;;
Hyper Tennis - Final Match (Europe);Hyper Tennis - Final Match (Europe);Sony PlayStation;;1996;JVC Digital Studios;Sports/Tennis;;;;;0;;;;;
Hyper Tennis - Final Match (Europe);Hyper Tennis - Final Match (Europe);Sony PSP;;1996;JVC Digital Studios;Sports/Tennis;;;;;0;;;;;
IMG International Tour Tennis (USA, Europe);IMG International Tour Tennis (USA, Europe);Sega Genesis;;1994;High Score Productions;Sports/Tennis;;;;;0;;;;;
