3D-Tetris (Czech Republic);3D-Tetris (Czech Republic);Sinclair ZX Spectrum;;1989;Antic Software;Puzzle;;;;;0;;;;;
3-D Tetris (USA);3-D Tetris (USA);Nintendo Virtual Boy;;1996;Nintendo;Puzzle;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);Arcade;;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);Final Burn Alpha;;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Advance);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Libretro);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);MAME (Mame4all);;2002;K1 Soft;Multiplay / Compilation;;;;;0;;;;;
atetrisa;Tetris (set 2);Arcade;atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);Arcade;atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);Final Burn Alpha;atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Advance);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Advance);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Libretro);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Libretro);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Mame4all);atetris;1988;Atari Games;Puzzle;;;;;0;;;;;
atetrisa;Tetris (set 2);MAME (Mame4all);atetris;1988;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisa;Tetris (set 2) [No sound];Final Burn Alpha;atetris;1988;Atari Games;;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2) [Bootleg];Final Burn Alpha;atetris;1988;bootleg;;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb2;Tetris (bootleg set 2);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb3;Tetris (bootleg set 3);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);Arcade;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1) [Bootleg, No sound];Final Burn Alpha;atetris;1988;bootleg;;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);Final Burn Alpha;atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Advance);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Libretro);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisb;Tetris (bootleg set 1);MAME (Mame4all);atetris;1988;bootleg;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Arcade;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Arcade;atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);Final Burn Alpha;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Advance);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Advance);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Libretro);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Libretro);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Mame4all);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2);MAME (Mame4all);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc2;Tetris (cocktail set 2) [No sound];Final Burn Alpha;atetris;1989;Atari Games;;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Arcade;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Arcade;atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);Final Burn Alpha;atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Advance);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Advance);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Libretro);atetris;1989;Atari Games;Puzzle;;;;;0;;;;;
atetrisc;Tetris (cocktail set 1);MAME (Libretro);atetris;1989;Atari Games;Puzzle / Drop;;;;;0;;;;;
