Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;;;;;0;;;;;
Spider-Man and the X-Men in Arcade's Revenge (USA);Spider-Man and the X-Men in Arcade's Revenge (USA);Sega Game Gear;;1994;Flying Edge;Platform;;;;;0;;;;;
Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Sega Genesis;;1994;Software Creations;Platform;;;;;0;;;;;
Spider-Man-X-Men (USA, Europe);Spider-Man-X-Men (USA, Europe);Nintendo Game Boy;;1993;LJN Ltd.;Platform;;;;;0;;;;;
spidxmen;Spider-Man and X-Men - Arcade's Revenge (Euro, USA);Final Burn Alpha;;1994;Flying Edge;;;;;;0;;;;;
Uncanny X-Men, The (USA);Uncanny X-Men, The (USA);Nintendo Entertainment System;;1989;LJN Ltd.;Action;;;;;0;;;;;
xmcotaar1;X-Men - children of the atom (941217 Asia);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);MAME (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);MAME (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaar1;X-Men Children of the Atom (Asia 941217);MAME (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men - children of the atom (950105 Asia);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);MAME (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);MAME (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);MAME (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotahr1;X-Men - children of the atom (950105 Hispanic);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotahr1;X-Men Children of the Atom (Hispanic 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
